scope,held_out_case,method,feature,importance_type,value,absolute_value,std
fold,210129,logistic_control,Gamma,standardized_coefficient,0.8334493310618627,0.8334493310618627,
fold,210129,logistic_control,beta,standardized_coefficient,-0.5455758180322814,0.5455758180322814,
fold,210129,logistic_control,lambda_R,standardized_coefficient,-0.1416994404273038,0.1416994404273038,
fold,210129,logistic_full,Gamma,standardized_coefficient,1.6718545575834391,1.6718545575834391,
fold,210129,logistic_full,beta,standardized_coefficient,-1.2296151039826417,1.2296151039826417,
fold,210129,logistic_full,lambda_R,standardized_coefficient,-0.26152667463833773,0.26152667463833773,
fold,210129,logistic_full,total_nominal_demand,standardized_coefficient,0.1083435771675246,0.1083435771675246,
fold,210129,logistic_full,total_deviation,standardized_coefficient,0.47412256149613796,0.47412256149613796,
fold,210129,logistic_full,deviation_to_nominal_ratio,standardized_coefficient,0.24308138693036568,0.24308138693036568,
fold,210129,logistic_full,nominal_demand_mean,standardized_coefficient,0.10834357716752614,0.10834357716752614,
fold,210129,logistic_full,nominal_demand_std,standardized_coefficient,0.20794694849506667,0.20794694849506667,
fold,210129,logistic_full,nominal_demand_cv,standardized_coefficient,0.8627207530188651,0.8627207530188651,
fold,210129,logistic_full,maximum_nominal_demand_to_mean_ratio,standardized_coefficient,0.7332881694753225,0.7332881694753225,
fold,210129,logistic_full,demand_density,standardized_coefficient,-0.5011024307845228,0.5011024307845228,
fold,210129,logistic_full,regional_demand_concentration,standardized_coefficient,0.5267991520556056,0.5267991520556056,
fold,210129,logistic_full,product_demand_concentration,standardized_coefficient,0.5785826891079882,0.5785826891079882,
fold,210129,logistic_full,total_incumbent_inventory,standardized_coefficient,0.10024392798785312,0.10024392798785312,
fold,210129,logistic_full,inventory_to_nominal_demand_ratio,standardized_coefficient,-0.06994408288011067,0.06994408288011067,
fold,210129,logistic_full,incumbent_inventory_concentration_across_depots,standardized_coefficient,0.022935190220532514,0.022935190220532514,
fold,210129,logistic_full,incumbent_inventory_concentration_across_products,standardized_coefficient,-0.0097394875922981,0.0097394875922981,
fold,210129,logistic_full,total_capacity,standardized_coefficient,0.027493612520863187,0.027493612520863187,
