method,feature,fold_count,positive_fold_count,negative_fold_count,zero_fold_count,nonzero_fold_count,dominant_sign,sign_consistency_ratio,sign_stability_classification,focal_feature
logistic_full,Gamma,8,8,0,0,8,POSITIVE,1.0,SIGN_STABLE,True
logistic_full,beta,8,0,8,0,8,NEGATIVE,1.0,SIGN_STABLE,True
logistic_full,capacity_slack_ratio,8,4,4,0,8,TIED,0.5,SIGN_UNSTABLE,False
logistic_full,demand_density,8,0,8,0,8,NEGATIVE,1.0,SIGN_STABLE,False
logistic_full,deviation_to_nominal_ratio,8,6,2,0,8,POSITIVE,0.75,SIGN_MODERATELY_STABLE,False
logistic_full,fixed_cost_cv,8,2,6,0,8,NEGATIVE,0.75,SIGN_MODERATELY_STABLE,False
logistic_full,incumbent_capacity_utilization,8,4,4,0,8,TIED,0.5,SIGN_UNSTABLE,False
logistic_full,incumbent_inventory_concentration_across_depots,8,8,0,0,8,POSITIVE,1.0,SIGN_STABLE,True
logistic_full,incumbent_inventory_concentration_across_products,8,6,2,0,8,POSITIVE,0.75,SIGN_MODERATELY_STABLE,False
logistic_full,inventory_cost_cv,8,0,0,8,0,TIED,0.0,SIGN_UNSTABLE,False
logistic_full,inventory_to_nominal_demand_ratio,8,6,2,0,8,POSITIVE,0.75,SIGN_MODERATELY_STABLE,True
logistic_full,lambda_R,8,0,8,0,8,NEGATIVE,1.0,SIGN_STABLE,False
logistic_full,maximum_nominal_demand_to_mean_ratio,8,7,1,0,8,POSITIVE,0.875,SIGN_STABLE,False
logistic_full,mean_inventory_cost,8,0,0,8,0,TIED,0.0,SIGN_UNSTABLE,False
logistic_full,mean_service_penalty,8,0,0,8,0,TIED,0.0,SIGN_UNSTABLE,False
logistic_full,mean_shortage_penalty,8,0,0,8,0,TIED,0.0,SIGN_UNSTABLE,False
logistic_full,mean_transport_cost,8,4,4,0,8,TIED,0.5,SIGN_UNSTABLE,False
logistic_full,nominal_demand_cv,8,8,0,0,8,POSITIVE,1.0,SIGN_STABLE,False
logistic_full,nominal_demand_mean,8,8,0,0,8,POSITIVE,1.0,SIGN_STABLE,False
logistic_full,nominal_demand_std,8,8,0,0,8,POSITIVE,1.0,SIGN_STABLE,False
logistic_full,product_demand_concentration,8,5,3,0,8,POSITIVE,0.625,SIGN_UNSTABLE,False
logistic_full,regional_demand_concentration,8,3,5,0,8,NEGATIVE,0.625,SIGN_UNSTABLE,False
logistic_full,shortage_penalty_cv,8,0,0,8,0,TIED,0.0,SIGN_UNSTABLE,False
logistic_full,total_capacity,8,7,1,0,8,POSITIVE,0.875,SIGN_STABLE,False
logistic_full,total_deviation,8,2,6,0,8,NEGATIVE,0.75,SIGN_MODERATELY_STABLE,False
logistic_full,total_incumbent_inventory,8,8,0,0,8,POSITIVE,1.0,SIGN_STABLE,False
logistic_full,total_nominal_demand,8,8,0,0,8,POSITIVE,1.0,SIGN_STABLE,False
logistic_full,transport_cost_cv,8,4,4,0,8,TIED,0.5,SIGN_UNSTABLE,True
