row_type,method,fold_a,fold_b,top5_a,top5_b,intersection_size,union_size,jaccard_overlap,average_jaccard,minimum_jaccard,maximum_jaccard
fold_pair,logistic_full,210129,210202,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|product_demand_concentration,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,2,8,0.25,,,
fold_pair,logistic_full,210129,210310,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|product_demand_concentration,Gamma|beta|demand_density|fixed_cost_cv|incumbent_inventory_concentration_across_products,2,8,0.25,,,
fold_pair,logistic_full,210129,210323,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|product_demand_concentration,Gamma|beta|incumbent_inventory_concentration_across_depots|total_deviation|transport_cost_cv,2,8,0.25,,,
fold_pair,logistic_full,210129,210330,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|product_demand_concentration,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products,2,8,0.25,,,
fold_pair,logistic_full,210129,210428,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|product_demand_concentration,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|total_deviation,2,8,0.25,,,
fold_pair,logistic_full,210129,210611,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|product_demand_concentration,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,2,8,0.25,,,
fold_pair,logistic_full,210129,210628,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|product_demand_concentration,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,2,8,0.25,,,
fold_pair,logistic_full,210202,210310,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,Gamma|beta|demand_density|fixed_cost_cv|incumbent_inventory_concentration_across_products,3,7,0.42857142857142855,,,
fold_pair,logistic_full,210202,210323,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,Gamma|beta|incumbent_inventory_concentration_across_depots|total_deviation|transport_cost_cv,2,8,0.25,,,
fold_pair,logistic_full,210202,210330,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products,4,6,0.6666666666666666,,,
