run_id,case,beta,result_sha256,first_stage_solution_sha256,provenance_sha256,zip_archive_match
E3-210202-B080,210202,0.8,7ad29c8ed06850ea1e18e5c80f433e1222994225392620080b72c9f4a8cc3ddf,689a11ba8f73bcdfae795ce741558ba6b2c7ee92445b60a5509f77fde775fa63,361a67319d8e4453297133d0c70b4f0a72eb26ca220bfdc8e26a8e4e3622a7b2,True
E3-210202-B090,210202,0.9,02f1f69689888e1d128f5fdebce1a685400f522753a3d114b259a799db472300,3f5f3b4635e7661c321cfae08795d0080d1fe28a33d828876bd98e73990d1173,c0a5cd10fd2f6fec034a84468c45a226c151f25b10b8356aae8d84c3010a3961,True
E3-210202-B100,210202,1.0,53624131142407d618b715584226e6b6ca2d4a28bceaedcc78eaf1a8485bfe2b,8dd4e6a75de9b0201e0e540fce055ea4c6a810e0d4fc701cf84636c73861a333,dc3d5f41fd415561ffe9497a952c65f5cb594834d9a4294a54e1f66b77066353,True
E3-210202-B110,210202,1.1,a68e0dbf25a0bdee4e4c7f1e785be6d2485200b1fd426f0b00a448491132fcfa,8a1e612b14e8fd8991852699ffad8888685a1f8f153d69ecd3e8428df42c0eeb,ca0120486c62fa68ce62b6497fc3fc9c42fc5af105d4633182bcce6446234fdc,True
E3-210202-B120,210202,1.2,f1cad5705937a1039c503e39e71867caef8314a531570a06bdf52e8cec3c4c09,8a1e612b14e8fd8991852699ffad8888685a1f8f153d69ecd3e8428df42c0eeb,2494fe278445d8e73c30c0e7d258fec08ef861c80cbae5044820013d5db8ba5a,True
E3-210628-B080,210628,0.8,b65301b18fea1e8852bf9d4a0d0ef9508ae821f8238ac2baad6aa9c3d262d59c,7e7540362244a2366d9aa35cd9917c1a14dd1b39611aeaad98b1679a2e3e43a1,350ed32a2c5af3431b460008a1236ede1a000185d54ff75eb9ef7869c53d8a00,True
E3-210628-B090,210628,0.9,eee4c851d9e5ec048648b4903cd65f7c31746f164b9c09652c4c63b9504a6de8,6f15418b449e7cd9b70b7e653dc500eaccecf94f24cf2d30741d10c890bcb6de,bb1a014feb4bde8ea6a7395f82cc623e01e17eed528f75502567bbe2e20a749f,True
E3-210628-B100,210628,1.0,c2852639008a6d1e0c9020395ab7c4f7ee2a9da3c4a169f9583135e9fbf4ef71,64b232fb41535b3ef85f4d72d46c0043bb8de458b5712d6eaf49968251a32eaa,b897e880cb730e5a81185ae92af93fdf5fa3b81425559bb6f097069b350c5607,True
E3-210628-B110,210628,1.1,8cc0985ef16add592b4f39ae6338686a863510dff8af7cd278340eac58df238a,860c37add6000309f3a78d95a405df972a40beb9f02062abbf8433482f40151a,c186b70aefe42bb728c1d092e0c319dcc7c797b3bf5c63922f8877609dee9337,True
E3-210628-B120,210628,1.2,af17964c6cb47f27ce2219acdcac98769800b66dc02473566425dfa121d98e13,860c37add6000309f3a78d95a405df972a40beb9f02062abbf8433482f40151a,1ff4ce649fdc1ebc0a6eec184ac92b65eb6d550d611cb0fc7fabda16d1da1968,True
E3-210129-B080,210129,0.8,7e166c5f03f3c4416cf6519968dcac0ebf5d5b29ce879a38dbf9d10025d94411,63465aeb47f3fe2df81ae3cd68b2041a01a0b805c378b7a5887df86dd304e5a6,5dba5309fd8cf675616b9f8ca224cf5e479ee8b6c99706ef383389640988ae61,True
E3-210129-B090,210129,0.9,8481ff60fe373633d674b10a4f4aeb4f6387c92f1fb66eeefcaafdb50375c9d6,c69c723701662104cc1f7c05cf32cc809ab01f1699fa30b37e23815cde8e47c0,6115598e0c6ded7e62f15b0dc2de5cc9f19b711f5f67d8e092485de69b45018c,True
E3-210129-B100,210129,1.0,3177869b32e3b6fc6df00d058f05522d25fe45668fa928111dfc7deed30f5e52,3fb35564886f10696cfa12551342c50ef276aa30ba0001a52518c0e525e333e4,bfb339856bebe9c596df1220bec7f4409f282c34069c5c3172f5ed389fad9f41,True
E3-210129-B110,210129,1.1,082fe3ac2416beebf62c79e9b827db341d9577755bdcffa566af2bd962ef6622,97525046423037949b48c8569f06bf0684a2fb99afe226277cc60e69b3077626,b8bf17cf3454f9c983fb0ca9160079ca633e672786957bb5007cd13cecc9decd,True
E3-210129-B120,210129,1.2,b6556a58bfe22aa4896d914bdd824cc01510ec65c4f1e72000b38dcc5e217a2a,97525046423037949b48c8569f06bf0684a2fb99afe226277cc60e69b3077626,1fc69a411e95c365b90e5e35ac2e3b5f932cb6577ccfbb7bf77ef791e1885a6a,True
E3-210310-B080,210310,0.8,9551554cc85360a90aad2e422929e56e39b6ebf7c9dd9904473eafa9407c7e91,2869b28b3085b32299a89e23dc9a44cc21ba5bf9ac82e42bdd035adc859b26bf,ba238c8f254a8717f0531b01f5e31a2369b60f20bfb58b2346c43e3c78dbf415,True
E3-210310-B090,210310,0.9,30c4d87a9f9d125a5800dfd2ab696aff6471ae73dce720b2f269ab0fcbf7f798,f0e2b30ca72b59e4d1fd29a300483934642b9b5f7b49fd2de657be006ed071d8,55a144ad94eb6fa90121511906692c173231d1e3bc0ce6ab56bfe8be644c9f2b,True
E3-210310-B100,210310,1.0,7a73936153ad11bcbb8bb54f62afd400318267701913c75e7545d72e6c02b11a,d8e74ecff0d5407a01e778aa90fed58acb1e64d7273696e39b246d211f27e8a1,6b539a68dec80611af71b4def86abd089fd60d0a8a76a225c7a3ae6d1f5df45d,True
E3-210310-B110,210310,1.1,2a90ffac09c7acf5250f3dde8a0cc907e8b3a7e168e5c3c915c8712b21fb4fc6,ccf760dacaa445fabfda161de67f4404e6f6183863222d528d66eb41fb125546,a7c770f38e09e5909816358bca92a7d8022c8a3e70469c6a7ecfdd9c37e67f9e,True
E3-210310-B120,210310,1.2,8103785889e167c97ce9108d13c84eb556e5b4d9b836fda22b36f9c358b7cfba,ccf760dacaa445fabfda161de67f4404e6f6183863222d528d66eb41fb125546,3cecd36f0c5ac082ed4a10fe22a2fc715c9f6214ecc6755edb86d66dccb16ab8,True
E3-210330-B080,210330,0.8,a6742193497f4f667792274198bfbaf60fb887971c407c28014e1af62a115cb1,af827a2bb196325e8c9c81efe0eec51195811f843c1906edb37ee852d4b1295a,3f109566be6e5e680843c3dd8db039b289f40f9903ac69eb886c261b02b2975d,True
E3-210330-B090,210330,0.9,ddcd50b87561b1ed8df7d7f7fb5223f4a0f21c037c4ff4f67afabbbcf29b1459,305439e13fa00e3e1a49d61cee24d21466507430c8ba956337f43a4736eed54e,ecb1abfcfc86d180a7ec1f811b9c476c038d5eb2646adce52a71c423843edc2b,True
E3-210330-B100,210330,1.0,2922a0d250a3338fd9db14140e5a86ea03fdb7a7da4297fd580d32c0a90f3813,b7982ff566500d2214d3e629033e223f81f430b4864a115deebbd7e2f7ffc46b,f9ca37a9401d0fc0fae90f976748b96c2fd95e248313b886771dfc2e8f4650e6,True
E3-210330-B110,210330,1.1,a8dd2111658016e40d31c61ae4cd5b5c34090756ad2c090742b0fdcc4818e6e2,7501e95226192696386cdf84ead64011ed54f898daf84b8cedb85f1018a0df99,1bf77a0bc015c47a3e4b859d1c7792529c005b0d20e28c8f78ef53192713634b,True
E3-210330-B120,210330,1.2,ad5bdcb8753cebdca3de0cee3c9e746e3f600c4b9118b65faec934f1c86ed2c5,76076eef640e8c6f7d023f4c956b43148208abccc98d0b6edfb87dff34dfcf7a,1701dc9fa42eebfc6af4343e74e4b119306e7fbd14e4bf7d04c55d533608bfc4,True
E3-210323-B080,210323,0.8,42bd0c0bb90ee84cf82aac25fdea1d3ca3c740f00b0b8f8f490260b12f32ee60,0a47ce4dc4e28ef4099b46484509767615bc26c08a342c89dd9edefb1fd59b07,8561f702c002be7986b3d7caef0dc2f6dfa015ef8b7351793af3dfe0eaec2e39,True
E3-210323-B090,210323,0.9,ba2f795710748a189f411cb5bff8eea569ed06f33014f2caa81a38f9cfc28c2c,6b2fc2bd8525428fc3379f738441a1cc5e2d1157e6aae38a372b0f64d2327401,9207bc0b4c9e94465515ed0f6515c1a9cd1d7113bec32ff3f18e52623b46ea1e,True
E3-210323-B100,210323,1.0,dcfe0a52c74435215e63da77d8dae270ac690e4be8120f67329567babda8ecef,f0984e963e7bec1a634604ee4a09340c8f5b433391e14638cf6dd7645c43ad3e,f6d4baf2afafd5e7f6fc939dc7225618f473a51390f9600b8d8f5ce33d3ab039,True
E3-210323-B110,210323,1.1,db0cb7d1177f3c7f0c20c7c51969586599869f6a89dc0bffdc982cf43c493d17,0ef4bf80486b8af65a3b48be930e34bd0c582f0ceefe2bcdf3d746d47976e24f,f6816168089a1f81f2178aa3d5b08d882e43eeee52b0e6f44ca654268d52e6ae,True
E3-210323-B120,210323,1.2,ad74a697dba189dfaf8ec8f937cb4caeb0f61ec21ff7800553e3d33d8753a490,0ef4bf80486b8af65a3b48be930e34bd0c582f0ceefe2bcdf3d746d47976e24f,39813e99e4f10d0495500409af0485ce36897e922432158088506b29b93ff2ba,True
E3-210428-B080,210428,0.8,2b7bb61cd7e9caae534089856f4941e298e9ff09251af740701dbf412066a9fc,75f2920d6b74aa2c337df06459aa8c9dbb9b34436e7eb7b7eb748923371f8be3,9edb28955cd9ea371941b9b052a7f2c950066f52b21d53430c60bfab11c0e1a3,True
E3-210428-B090,210428,0.9,7b87e6680aa1b42a4a74a8890562c09a0f329f320279b125ae05af759c53ffc4,64ef93ecd98f309dda0918a3b0a5c86ad17d2aa2cd80043959f905ebaa629706,e991eeb0f56c433dbd16ce2a90200a47475fb6fed76c6745308a01492be094e6,True
E3-210428-B100,210428,1.0,76e73726f8f6436ac3ac36fb4a9ff44aca0007051e014f5cf921dd800eabe025,9da9e43a90643933431eda5d365163fdad7c52b8d82009c50908cea8905aaf34,ac6554937ffba2066d0a2851d8d84e8b2df681133ce8b93358380c9e6850457f,True
E3-210428-B110,210428,1.1,b5de9548d33442276b39f1daae83e4c5a4ae53e851acf053e96c48e3e3bfd5d4,503697b7deabe60e996cc4f7c2ba0795248d30c387659e9d06f8829bb7001a6a,573ab23b0551b94d61afbe59a72ed8cc64dbc4afb74d3c1e4642f230de2abd4a,True
E3-210428-B120,210428,1.2,2abcaf36e85b5d0cbb20f76454a58d64df646ac4f7ef372a0adcc53adf321cc1,503697b7deabe60e996cc4f7c2ba0795248d30c387659e9d06f8829bb7001a6a,9492ae98a1f52d0c3b076595c779cfe396c724b36da3e327bc5b209c47a22551,True
E3-210611-B080,210611,0.8,ab3f7046c28dec21d072f0cf971348b5f98a0e2aed4fb508291bac7532927c82,012bdbf6a71ea6c0630655bab20a70e46c144a7674bbbc780076a6b5f1c2889d,c12666857695a006f4954bcaf8cc1d0ac3ad1053e0ebbf8197b8c9a5923b6fbb,True
E3-210611-B090,210611,0.9,be404d016fcee3492a87f8c5e2ebcb735d9c21e147bf8accb9ac77ddc96c9d4e,b68e951766b4897d1669d845ecd154790ce78c8216927233360a8e5b2879df53,15871ade4356826f99e907f990df1d038ad49bf0bd83277c9f89b1050ed1014c,True
E3-210611-B100,210611,1.0,d63b29161faebd91ea9f6fdc8fd61a89b49e86ed1e0cdc3454c59246d2be4e65,de994b5a71362f294a54df7e76c1355aca0982804d977e73ee40ad3486a36ec4,dc22224700796b19b451ca15bd6b0eb37b277e8627c13185802da40ed240550e,True
E3-210611-B110,210611,1.1,318d6c269692a1f525eca007cd04727cb73ac9c21cd797c819a02ca5eadd8f71,a26bc7ec93c7ed75c5d801c15e5bc3845eabd885fb02228ed5a0ce001ac109b1,92bc4e28d7e960cc6dce4f7bd91b7ed762e9ca80cfe3f86322001705c2dc9ff0,True
E3-210611-B120,210611,1.2,cb41b7c5fcb772384275c2f3509a13d2899408befec80e6390ca9781d399ef62,a26bc7ec93c7ed75c5d801c15e5bc3845eabd885fb02228ed5a0ce001ac109b1,a4c1284fa4c5c60eed1831ff4c3fe2b480f59c5b519f30c60b093bd456aa7902,True
