run_id,case,Gamma,objective,normalized_objective,first_stage_economic_cost,robust_recourse_cost,normalized_robust_recourse,RI,RS,budget_utilization,total_adjustment,total_a_plus,total_a_minus,changed_pair_count,active_depots,active_depot_ids,opened_depots,closed_depots,shortage_cost,service_penalty,average_fill_rate,minimum_fill_rate,runtime_seconds,iterations,master_solves,cuts_added,product_subproblem_evaluations,status,certification_status,exact_certification_pass,reused_G2,global_coupling_diagnostic_status
E4-210202-G0,210202,0,1034674.0388239038,1.0,106510.95599900621,928163.0828248976,1.0,3.787526378589822e-12,6.241741028161823e-14,1.0000000000000002,2.2160460133591187e-09,2.2160460133591187e-09,0.0,0,2,90016100|9624708,,,351522.9,573540.7660714287,0.13614501999661563,4.440892098500626e-16,0.1164369999896735,5,5,13,48,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210202-G1,210202,1,1047925.9717283967,1.0128078335854993,106510.9559990062,941415.0157293906,1.0142775910286803,0.07334668362085336,0.002395961633548232,1.0,59.81160096706935,15.15227224499094,44.65932872207841,3,2,90016100|9624708,,,355677.26255169656,583211.9683717003,0.12588750775962235,8.881784197001252e-16,0.23509120009839535,4,4,22,80,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210202-G2,210202,2,1058780.7942496866,1.0232988888492696,106510.9559990062,952269.8382506805,1.0259725428341893,0.13762008031004352,0.004495532942336655,1.0,112.22426048749267,28.430145990164846,83.79411449732783,3,2,90016100|9624708,,,358942.64917865157,591062.3212748348,0.11974816491655471,1.3322676295501878e-15,1.2333677001297474,4,4,31,120,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,PASS
E4-210202-G3,210202,3,1068020.5701231204,1.032229020974684,106510.9559990062,961509.6141241143,1.0359274484368903,0.14342671116358338,0.004685213839392284,1.0,116.95936056877648,29.629704677423405,87.32965589135307,3,2,90016100|9624708,,,364504.54561206227,595059.4240963174,0.11876760461517849,4.440892098500626e-16,4.061279200017452,4,4,42,160,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210202-G4,210202,4,1076954.985082896,1.0408640254539026,106510.95599900617,970444.0290838898,1.0455533591470894,0.15523023989640325,0.005070790945107257,0.9999999999999998,126.5847166955808,32.06812822954711,94.51658846603368,3,2,90016100|9624708,,,365538.0659403893,602704.9566407697,0.11677435380562971,1.6653345369377348e-15,10.97530319984071,4,4,53,200,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210628-G0,210628,0,625401.2683030788,1.0,77408.83107532003,547992.4372277588,1.0,6.755346353786714e-11,0.0,1.0000000000000002,0.0,0.0,0.0,0,2,90016100|9624708,,,207866.06153846098,337744.7376923077,0.14358015428821916,0.0,0.08916809991933405,5,5,14,48,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210628-G1,210628,1,657359.8663030961,1.0511009484946066,77408.83107532005,579951.035227776,1.058319414336615,1.1362800010503849e-11,-2.442604533072238e-17,1.0000000000000004,3.129831551823851e-09,0.0,3.129831551823851e-09,0,2,90016100|9624708,,,219858.03076923077,357711.3664615385,0.14358015430158735,0.0,0.2812530000228435,5,5,22,96,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210628-G2,210628,2,676700.8373031134,1.0820266468906072,77408.83107532136,599292.0062277921,1.09361364412172,1.8124781797773607e-11,4.2570547099694265e-13,1.0000000000000173,1.098445429741396e-08,0.0,1.098445429741396e-08,0,2,90016100|9624708,,,227115.4307692308,369794.9374615385,0.14358015430158724,0.0,1.2426573000848293,5,5,34,144,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,PASS
E4-210628-G3,210628,3,693018.0173031153,1.1081173838734022,77408.83107532315,615609.1862277922,1.1233899309671134,3.21972926956679e-11,4.489841057469114e-13,1.0000000000000404,1.1585111599088761e-08,0.0,1.1585111599088761e-08,0,2,90016100|9624708,,,233238.2,379989.3482307693,0.14358015430154844,0.0,4.561950400006026,5,5,48,192,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210628-G4,210628,4,708428.6873031154,1.132758635468261,77408.83107532315,631019.8562277922,1.1515119796544295,3.21972926956679e-11,4.489841057469114e-13,1.0000000000000404,1.1585111599088761e-08,0.0,1.1585111599088761e-08,0,2,90016100|9624708,,,239020.81538537826,389617.4028475652,0.14358014852416257,0.0,12.450714999809861,5,5,62,240,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
