run_id,case,beta_token,beta,Gamma_token,Gamma,reuse_or_new,reuse_source_run,reported_runtime_seconds,reported_runtime_exact_scope,certification_in_reported_timer,service_post_evaluation_in_reported_timer,artifact_writing_in_reported_timer,completion_utc,result_mtime_utc,previous_completion_utc,inter_completion_gap_seconds,reconstructed_wallclock_seconds,wallclock_reconstruction_status,global_scenarios_in_post_evaluation,product_risk_blocks_in_post_evaluation,runtime_scope_classification,timing_anomaly_flag
E6-210202-B080-G0,210202,B080,0.8,G0,0,NEW_SOLVE,,0.13038540026172996,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T10:19:42.376628+00:00,2026-09-13T18:19:42.370110+08:00,,,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210202-B080-G2,210202,B080,0.8,G2,2,REUSE,E3-210202-B080,1.0246602999977767,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T10:19:48.732637+00:00,2026-09-13T18:19:48.725639+08:00,2026-09-13T10:19:42.376628+00:00,6.356009,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210202-B080-G4,210202,B080,0.8,G4,4,NEW_SOLVE,,32.731618099845946,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T12:15:11.601993+00:00,2026-09-13T20:15:11.599996+08:00,2026-09-13T10:19:48.732637+00:00,6922.869356,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210202-B100-G0,210202,B100,1.0,G0,0,REUSE,E4-210202-G0,0.1164369999896735,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T12:15:18.148085+00:00,2026-09-13T20:15:18.146085+08:00,2026-09-13T12:15:11.601993+00:00,6.546092,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210202-B100-G2,210202,B100,1.0,G2,2,REUSE,E3-210202-B100,1.2333677001297474,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T12:15:22.682809+00:00,2026-09-13T20:15:22.681812+08:00,2026-09-13T12:15:18.148085+00:00,4.534724,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210202-B100-G4,210202,B100,1.0,G4,4,REUSE,E4-210202-G4,10.97530319984071,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T12:15:27.058057+00:00,2026-09-13T20:15:27.057052+08:00,2026-09-13T12:15:22.682809+00:00,4.375248,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210202-B120-G0,210202,B120,1.2,G0,0,NEW_SOLVE,,0.08602729998528957,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T12:15:31.567111+00:00,2026-09-13T20:15:31.563114+08:00,2026-09-13T12:15:27.058057+00:00,4.509054,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210202-B120-G2,210202,B120,1.2,G2,2,REUSE,E3-210202-B120,1.3830013999249786,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T12:15:36.040164+00:00,2026-09-13T20:15:36.038160+08:00,2026-09-13T12:15:31.567111+00:00,4.473053,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210202-B120-G4,210202,B120,1.2,G4,4,NEW_SOLVE,,12.22826230013743,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T13:06:13.919964+00:00,2026-09-13T21:06:13.916966+08:00,2026-09-13T12:15:36.040164+00:00,3037.8798,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210628-B080-G0,210628,B080,0.8,G0,0,NEW_SOLVE,,0.05304729985073209,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T13:06:18.354579+00:00,2026-09-13T21:06:18.353577+08:00,2026-09-13T13:06:13.919964+00:00,4.434615,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210628-B080-G2,210628,B080,0.8,G2,2,REUSE,E3-210628-B080,1.2240196000784636,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T13:06:22.751168+00:00,2026-09-13T21:06:22.748170+08:00,2026-09-13T13:06:18.354579+00:00,4.396589,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210628-B080-G4,210628,B080,0.8,G4,4,NEW_SOLVE,,9.86773549998179,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T13:59:07.871341+00:00,2026-09-13T21:59:07.867342+08:00,2026-09-13T13:06:22.751168+00:00,3165.120173,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210628-B100-G0,210628,B100,1.0,G0,0,REUSE,E4-210628-G0,0.08916809991933405,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T13:59:11.991429+00:00,2026-09-13T21:59:11.990430+08:00,2026-09-13T13:59:07.871341+00:00,4.120088,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210628-B100-G2,210628,B100,1.0,G2,2,REUSE,E3-210628-B100,1.2426573000848293,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T13:59:16.061352+00:00,2026-09-13T21:59:16.060349+08:00,2026-09-13T13:59:11.991429+00:00,4.069923,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210628-B100-G4,210628,B100,1.0,G4,4,REUSE,E4-210628-G4,12.450714999809861,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T13:59:20.236529+00:00,2026-09-13T21:59:20.233531+08:00,2026-09-13T13:59:16.061352+00:00,4.175177,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210628-B120-G0,210628,B120,1.2,G0,0,NEW_SOLVE,,0.1053297002799809,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T13:59:24.764823+00:00,2026-09-13T21:59:24.762830+08:00,2026-09-13T13:59:20.236529+00:00,4.528294,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210628-B120-G2,210628,B120,1.2,G2,2,REUSE,E3-210628-B120,1.3807689999230206,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T13:59:28.978140+00:00,2026-09-13T21:59:28.975139+08:00,2026-09-13T13:59:24.764823+00:00,4.213317,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210628-B120-G4,210628,B120,1.2,G4,4,NEW_SOLVE,,11.84493330027908,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T14:56:58.498320+00:00,2026-09-13T22:56:58.495332+08:00,2026-09-13T13:59:28.978140+00:00,3449.52018,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210129-B080-G0,210129,B080,0.8,G0,0,NEW_SOLVE,,0.061376099940389395,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T14:57:03.087947+00:00,2026-09-13T22:57:03.084951+08:00,2026-09-13T14:56:58.498320+00:00,4.589627,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210129-B080-G2,210129,B080,0.8,G2,2,REUSE,E3-210129-B080,1.0679373999591917,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T14:57:07.579224+00:00,2026-09-13T22:57:07.576214+08:00,2026-09-13T14:57:03.087947+00:00,4.491277,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210129-B080-G4,210129,B080,0.8,G4,4,NEW_SOLVE,,9.242235799785703,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T15:47:05.317058+00:00,2026-09-13T23:47:05.316067+08:00,2026-09-13T14:57:07.579224+00:00,2997.737834,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210129-B100-G0,210129,B100,1.0,G0,0,REUSE,E4-210129-G0,0.08878529979847372,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T15:47:09.415744+00:00,2026-09-13T23:47:09.412793+08:00,2026-09-13T15:47:05.317058+00:00,4.098686,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210129-B100-G2,210129,B100,1.0,G2,2,REUSE,E3-210129-B100,1.1686394000425935,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T15:47:13.791455+00:00,2026-09-13T23:47:13.790456+08:00,2026-09-13T15:47:09.415744+00:00,4.375711,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210129-B100-G4,210129,B100,1.0,G4,4,REUSE,E4-210129-G4,10.246090600034222,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T15:47:18.274151+00:00,2026-09-13T23:47:18.271150+08:00,2026-09-13T15:47:13.791455+00:00,4.482696,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210129-B120-G0,210129,B120,1.2,G0,0,NEW_SOLVE,,0.09716959996148944,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T15:47:23.000271+00:00,2026-09-13T23:47:22.999267+08:00,2026-09-13T15:47:18.274151+00:00,4.72612,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210129-B120-G2,210129,B120,1.2,G2,2,REUSE,E3-210129-B120,1.4792450999375433,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T15:47:27.446656+00:00,2026-09-13T23:47:27.444654+08:00,2026-09-13T15:47:23.000271+00:00,4.446385,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210129-B120-G4,210129,B120,1.2,G4,4,NEW_SOLVE,,13.776038399897516,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T16:37:55.068808+00:00,2026-09-14T00:37:55.065811+08:00,2026-09-13T15:47:27.446656+00:00,3027.622152,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210310-B080-G0,210310,B080,0.8,G0,0,NEW_SOLVE,,0.1598507002927363,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T16:37:59.242048+00:00,2026-09-14T00:37:59.238048+08:00,2026-09-13T16:37:55.068808+00:00,4.17324,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210310-B080-G2,210310,B080,0.8,G2,2,REUSE,E3-210310-B080,2.0106341999489814,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T16:38:03.612532+00:00,2026-09-14T00:38:03.609537+08:00,2026-09-13T16:37:59.242048+00:00,4.370484,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210310-B080-G4,210310,B080,0.8,G4,4,NEW_SOLVE,,13.118573700077832,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T17:30:48.250256+00:00,2026-09-14T01:30:48.246240+08:00,2026-09-13T16:38:03.612532+00:00,3164.637724,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210310-B100-G0,210310,B100,1.0,G0,0,REUSE,E4-210310-G0,0.10715649998746812,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T17:30:52.587091+00:00,2026-09-14T01:30:52.585134+08:00,2026-09-13T17:30:48.250256+00:00,4.336835,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210310-B100-G2,210310,B100,1.0,G2,2,REUSE,E3-210310-B100,1.3473797999322414,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T17:30:56.939737+00:00,2026-09-14T01:30:56.938743+08:00,2026-09-13T17:30:52.587091+00:00,4.352646,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210310-B100-G4,210310,B100,1.0,G4,4,REUSE,E4-210310-G4,15.278107000049204,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T17:31:01.410786+00:00,2026-09-14T01:31:01.407844+08:00,2026-09-13T17:30:56.939737+00:00,4.471049,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210310-B120-G0,210310,B120,1.2,G0,0,NEW_SOLVE,,0.07757999980822206,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T17:31:05.867610+00:00,2026-09-14T01:31:05.866606+08:00,2026-09-13T17:31:01.410786+00:00,4.456824,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210310-B120-G2,210310,B120,1.2,G2,2,REUSE,E3-210310-B120,1.252697299933061,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T17:31:10.130830+00:00,2026-09-14T01:31:10.129828+08:00,2026-09-13T17:31:05.867610+00:00,4.26322,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210310-B120-G4,210310,B120,1.2,G4,4,NEW_SOLVE,,12.120294900145382,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T18:24:25.856720+00:00,2026-09-14T02:24:25.855719+08:00,2026-09-13T17:31:10.130830+00:00,3195.72589,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210330-B080-G0,210330,B080,0.8,G0,0,NEW_SOLVE,,0.04147860035300255,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T18:24:30.497702+00:00,2026-09-14T02:24:30.493700+08:00,2026-09-13T18:24:25.856720+00:00,4.640982,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210330-B080-G2,210330,B080,0.8,G2,2,REUSE,E3-210330-B080,0.8741103000938892,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T18:24:35.139249+00:00,2026-09-14T02:24:35.136246+08:00,2026-09-13T18:24:30.497702+00:00,4.641547,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210330-B080-G4,210330,B080,0.8,G4,4,NEW_SOLVE,,7.278121399693191,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T19:03:08.166580+00:00,2026-09-14T03:03:08.162579+08:00,2026-09-13T18:24:35.139249+00:00,2313.027331,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210330-B100-G0,210330,B100,1.0,G0,0,REUSE,E4-210330-G0,0.08869959996081889,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T19:03:12.589195+00:00,2026-09-14T03:03:12.588193+08:00,2026-09-13T19:03:08.166580+00:00,4.422615,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210330-B100-G2,210330,B100,1.0,G2,2,REUSE,E3-210330-B100,0.9831330000888556,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T19:03:17.224842+00:00,2026-09-14T03:03:17.222844+08:00,2026-09-13T19:03:12.589195+00:00,4.635647,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210330-B100-G4,210330,B100,1.0,G4,4,REUSE,E4-210330-G4,9.079976900015026,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T19:03:21.538101+00:00,2026-09-14T03:03:21.536156+08:00,2026-09-13T19:03:17.224842+00:00,4.313259,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210330-B120-G0,210330,B120,1.2,G0,0,NEW_SOLVE,,0.08374070003628731,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T19:03:25.562510+00:00,2026-09-14T03:03:25.559510+08:00,2026-09-13T19:03:21.538101+00:00,4.024409,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210330-B120-G2,210330,B120,1.2,G2,2,REUSE,E3-210330-B120,1.0716995000839233,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T19:03:29.993909+00:00,2026-09-14T03:03:29.991900+08:00,2026-09-13T19:03:25.562510+00:00,4.431399,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
