case,beta_token,beta,Gamma_token,Gamma,x0_y_active_depot_count,final_y_active_depot_count,x0_y_active_depot_ids,final_y_active_depot_ids,opened_y_depot_ids,closed_y_depot_ids,y_network_change,x0_positive_inventory_depot_count,final_positive_inventory_depot_count,positive_inventory_footprint_change
210202,B080,0.8,G0,0,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210202,B080,0.8,G2,2,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210202,B080,0.8,G4,4,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210202,B100,1.0,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210202,B100,1.0,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210202,B100,1.0,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210202,B120,1.2,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210202,B120,1.2,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210202,B120,1.2,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210628,B080,0.8,G0,0,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210628,B080,0.8,G2,2,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210628,B080,0.8,G4,4,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210628,B100,1.0,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210628,B100,1.0,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210628,B100,1.0,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210628,B120,1.2,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210628,B120,1.2,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210628,B120,1.2,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210129,B080,0.8,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210129,B080,0.8,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210129,B080,0.8,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210129,B100,1.0,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210129,B100,1.0,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210129,B100,1.0,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210129,B120,1.2,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210129,B120,1.2,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210129,B120,1.2,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210310,B080,0.8,G0,0,4,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,4,4,False
210310,B080,0.8,G2,2,4,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,4,4,False
210310,B080,0.8,G4,4,4,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,4,4,False
210310,B100,1.0,G0,0,4,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,4,4,False
210310,B100,1.0,G2,2,4,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,4,4,False
210310,B100,1.0,G4,4,4,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,4,4,False
210310,B120,1.2,G0,0,4,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,4,4,False
210310,B120,1.2,G2,2,4,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,4,4,False
210310,B120,1.2,G4,4,4,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,4,4,False
210330,B080,0.8,G0,0,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210330,B080,0.8,G2,2,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210330,B080,0.8,G4,4,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210330,B100,1.0,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210330,B100,1.0,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210330,B100,1.0,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210330,B120,1.2,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210330,B120,1.2,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210330,B120,1.2,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210323,B080,0.8,G0,0,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210323,B080,0.8,G2,2,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210323,B080,0.8,G4,4,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210323,B100,1.0,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210323,B100,1.0,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210323,B100,1.0,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210323,B120,1.2,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210323,B120,1.2,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210323,B120,1.2,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210428,B080,0.8,G0,0,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210428,B080,0.8,G2,2,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210428,B080,0.8,G4,4,2,1,90016100|9624708,90016100,,9624708,True,2,1,True
210428,B100,1.0,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210428,B100,1.0,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210428,B100,1.0,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210428,B120,1.2,G0,0,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210428,B120,1.2,G2,2,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210428,B120,1.2,G4,4,2,2,90016100|9624708,90016100|9624708,,,False,2,2,False
210611,B080,0.8,G0,0,5,3,90015700|90016100|90038200|90038300|9624708,90016100|90038300|9624708,,90015700|90038200,True,5,3,True
210611,B080,0.8,G2,2,5,3,90015700|90016100|90038200|90038300|9624708,90016100|90038300|9624708,,90015700|90038200,True,5,3,True
210611,B080,0.8,G4,4,5,3,90015700|90016100|90038200|90038300|9624708,90016100|90038300|9624708,,90015700|90038200,True,5,3,True
210611,B100,1.0,G0,0,5,5,90015700|90016100|90038200|90038300|9624708,90015700|90016100|90038200|90038300|9624708,,,False,5,5,False
210611,B100,1.0,G2,2,5,5,90015700|90016100|90038200|90038300|9624708,90015700|90016100|90038200|90038300|9624708,,,False,5,5,False
210611,B100,1.0,G4,4,5,5,90015700|90016100|90038200|90038300|9624708,90015700|90016100|90038200|90038300|9624708,,,False,5,5,False
210611,B120,1.2,G0,0,5,5,90015700|90016100|90038200|90038300|9624708,90015700|90016100|90038200|90038300|9624708,,,False,5,5,False
210611,B120,1.2,G2,2,5,5,90015700|90016100|90038200|90038300|9624708,90015700|90016100|90038200|90038300|9624708,,,False,5,5,False
210611,B120,1.2,G4,4,5,5,90015700|90016100|90038200|90038300|9624708,90015700|90016100|90038200|90038300|9624708,,,False,5,5,False
