run_id,case,Gamma,lambda_R,material_reconfiguration,canonical_total_adjustment,RI,changed_pair_count,top_adjustment_share,active_depots,active_depot_ids,positive_inventory_depot_ids,opened_depots,closed_depots,network_change,inventory_cost,reconfiguration_cost,robust_recourse_cost
E7-210202-G0-L0025,210202,0,0.0025,False,3.586692276513759e-08,4.3983437894540443e-11,0,0.5188558230513589,2,90016100|9624708,90016100|9624708,,,False,105389.99999900062,5.598603002641419e-09,928163.0828248442
E7-210202-G0-L0500,210202,0,0.05,False,3.0885924928725217e-09,3.787526378589822e-12,0,0.7174938158637115,2,90016100|9624708,90016100|9624708,,,False,105389.99999899956,6.648138040077356e-09,928163.0828248976
E7-210202-G0-L2000,210202,0,0.2,False,0.0,0.0,0,0.0,2,90016100|9624708,90016100|9624708,,,False,105389.99999900619,0.0,928163.0828249606
E7-210202-G2-L0025,210202,2,0.0025,True,104.62388729045594,0.1282997785747599,3,0.7282633314077828,2,90016100|9624708,90016100|9624708,,,False,105367.1988794151,22.801119591109604,951723.3657656652
E7-210202-G2-L0500,210202,2,0.05,True,112.22426048749267,0.13762008031004352,3,0.7466666613441874,2,90016100|9624708,90016100|9624708,,,False,104911.1764875929,478.8235114133023,952269.8382506805
E7-210202-G2-L2000,210202,2,0.2,True,58.9999999763872,0.07235142116127283,3,0.7999999898758199,2,90016100|9624708,90016100|9624708,,,False,104445.99999938402,943.9999996221973,954303.9031682627
E7-210202-G4-L0025,210202,4,0.0025,True,118.0117835013823,0.14471729243251932,3,0.7282633320554573,2,90016100|9624708,90016100|9624708,,,False,105364.28119942361,25.718799582594126,969827.6288118176
E7-210202-G4-L0500,210202,4,0.05,True,126.5847166955808,0.15523023989640325,3,0.7466666619479987,2,90016100|9624708,90016100|9624708,,,False,104849.90520777169,540.0947912344781,970444.0290838898
E7-210202-G4-L2000,210202,4,0.2,True,58.9999999763872,0.07235142116127283,3,0.7999999898758199,2,90016100|9624708,90016100|9624708,,,False,104445.99999938402,943.9999996221973,972723.1268111198
E7-210628-G0-L0025,210628,0,0.0025,False,1.9008062679404247e-08,3.136405133423101e-11,0,0.551295311995939,2,90016100|9624708,90016100|9624708,,,False,75498.92307531871,1.3255695982810474e-09,547992.4372277602
E7-210628-G0-L0500,210628,0,0.05,False,4.0940516754517375e-08,6.755346353786714e-11,0,0.46177153909614865,2,90016100|9624708,90016100|9624708,,,False,75498.92307532004,0.0,547992.4372277588
E7-210628-G0-L2000,210628,0,0.2,False,1.8986618499639007e-08,3.132866759385088e-11,0,0.5824404435564301,2,90016100|9624708,90016100|9624708,,,False,75498.92307532002,0.0,547992.4372277593
E7-210628-G2-L0025,210628,2,0.0025,False,1.7784351769023488e-08,2.9344880182558256e-11,0,0.5880112268645684,2,90016100|9624708,90016100|9624708,,,False,75498.92307532002,3.1372477948821142e-09,599292.0062277593
E7-210628-G2-L0500,210628,2,0.05,False,1.83114039487009e-08,3.02145370170305e-11,0,0.5998693881225454,2,90016100|9624708,90016100|9624708,,,False,75498.9230752884,3.295336289224188e-08,599292.0062277921
E7-210628-G2-L2000,210628,2,0.2,False,1.8986305860835273e-08,3.1328151727523265e-11,0,0.5824395556279085,2,90016100|9624708,90016100|9624708,,,False,75498.92307532001,2.6540121211837686e-07,599292.0062277593
E7-210628-G4-L0025,210628,4,0.0025,False,1.9016603403088084e-08,3.1378143864362536e-11,0,0.5830958518489181,2,90016100|9624708,90016100|9624708,,,False,75498.92307531823,1.8193424273103525e-09,631019.8562277613
E7-210628-G4-L0500,210628,4,0.05,False,1.951304540170895e-08,3.21972926956679e-11,0,0.5937112762756912,2,90016100|9624708,90016100|9624708,,,False,75498.9230752884,3.4755334797266284e-08,631019.8562277922
E7-210628-G4-L2000,210628,4,0.2,False,1.8986305860835273e-08,3.1328151727523265e-11,0,0.5824395556279085,2,90016100|9624708,90016100|9624708,,,False,75498.92307532001,0.0,631019.8562277594
E7-210129-G0-L0025,210129,0,0.0025,False,3.4116904856773544e-08,5.025459880890133e-11,0,0.5201227109497967,2,90016100|9624708,90016100|9624708,,,False,89450.99999905335,4.986441512665666e-09,736374.194832036
E7-210129-G0-L0500,210129,0,0.05,False,3.093203471138395e-09,4.556324793498921e-12,0,0.7174555204209453,2,90016100|9624708,90016100|9624708,,,False,89450.99999905168,6.657707718460415e-09,736374.1948320869
E7-210129-G0-L2000,210129,0,0.2,False,5.684341886080802e-14,8.373101902909243e-17,0,1.0,2,90016100|9624708,90016100|9624708,,,False,89450.99999905836,0.0,736374.1948321507
E7-210129-G2-L0025,210129,2,0.0025,True,54.21136895324159,0.07985397881383693,3,0.728263327562863,2,90016100|9624708,90016100|9624708,,,False,89439.18548959293,11.81450946540563,760669.4571595881
E7-210129-G2-L0500,210129,2,0.05,True,58.14953877504357,0.08565494889792966,3,0.7466666577596643,2,90016100|9624708,90016100|9624708,,,False,89202.89530028481,248.10469877351852,760949.1358334916
E7-210129-G2-L2000,210129,2,0.2,True,31.109374977469127,0.04582447221550904,3,0.7999999833505965,2,90016100|9624708,90016100|9624708,,,False,88953.24999941885,497.7499996395054,762009.5887995571
E7-210129-G4-L0025,210129,4,0.0025,True,106.60416011611306,0.15702917132975203,4,0.7139299329019232,2,90016100|9624708,90016100|9624708,,,False,89427.76731036106,23.23268869726865,781127.7677337414
E7-210129-G4-L0500,210129,4,0.05,True,114.34838968186945,0.1684365118122768,4,0.7333039903561849,2,90016100|9624708,90016100|9624708,,,False,88963.11353641568,487.8864626426422,781707.3128649216
E7-210129-G4-L2000,210129,4,0.2,True,31.109374977469127,0.04582447221550904,3,0.7999999833505965,2,90016100|9624708,90016100|9624708,,,False,88953.24999941885,497.7499996395054,783670.542237057
E7-210310-G0-L0025,210310,0,0.0025,False,7.816544211891596e-08,1.4033125058763788e-10,0,0.48190223845375724,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,74874.39999988716,3.034650717381737e-08,567937.7793743699
E7-210310-G0-L0500,210310,0,0.05,False,1.9437003118127905e-09,3.4895458674603015e-12,0,0.7272853557739585,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,74874.3999999175,0.0,567937.7793744502
E7-210310-G0-L2000,210310,0,0.2,False,6.342420277860583e-08,1.1386614662660247e-10,0,0.4998131896090179,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,74874.39999991693,-1.0131108752803256e-06,567937.7793743052
E7-210310-G2-L0025,210310,2,0.0025,False,7.658209000283023e-08,1.3748864167316565e-10,0,0.48402728120162875,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,74874.39999988735,3.015374367976165e-08,638420.455707703
