entity_type,case_id,entity_id,latitude,longitude,region_id,is_medoid,source_status,source_file
customer,210202,187312,46.84,0.54,5,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,187313,45.55,3.26,5,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,239401,46.4,5.79,7,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,239404,45.14,5.3,7,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,239406,39.72,-8.93,2,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,239407,48.39,18.0,9,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,239412,48.36,0.37,5,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,239414,48.37,0.56,5,true,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,292606,46.79,21.63,9,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,322802,48.98,1.89,5,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,487216,46.54,3.35,7,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,487229,51.16,17.16,10,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,487232,48.69,8.12,7,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,487233,50.99,10.35,8,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,487241,41.53,-8.43,2,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,487248,41.31,1.63,6,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,487266,46.87,23.78,11,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,487281,41.51,-8.46,2,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,487282,50.94,5.49,7,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,631303,48.02,2.72,5,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,679301,49.46,5.86,7,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,772511,49.94,2.27,5,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,772524,50.47,2.6,7,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,772544,49.29,5.68,7,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,923601,49.44,1.91,5,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,923606,44.1,1.1,6,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,923610,41.54,2.04,6,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,923613,48.38,18.4,9,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
customer,210202,923617,46.27,5.66,7,false,RECOVERED_FROM_FROZEN_ARTIFACT,renault_data_pipeline/data/renault_processed/210202/customers.csv
