case,gamma,beta,lambda_r,status,certified,objective,exact_objective,objective_difference,first_stage_expenditure,first_stage_difference,robust_recourse,robust_recourse_difference,y_identical,maximum_x_difference,fr_min_robust,fr_min_difference,worst_scenario,worst_region,average_fill_rate,iterations,master_solve_count,product_subproblem_evaluations,product_pattern_evaluations,unique_product_cuts,cuts_by_product,cuts_by_gamma,final_lb,final_ub,final_gap,total_runtime_seconds,master_runtime_seconds,separation_runtime_seconds,certification_runtime_seconds,global_coupling_error,exact_certification
210202,0,0.9,0.0,OPTIMAL,True,129500.1049605622,129500.10496056252,3.2014213502407074e-10,76152.87461821869,1.3096723705530167e-10,53347.2303423435,4.511093720793724e-10,True,3.22060600410623e-10,0.6259147276242498,7.083222897108499e-14,,12,0.9413028821711317,57,57,464,464,360,"[6, 43, 54, 49, 47, 54, 56, 51]",[360],129500.10496056217,129500.1049605622,2.2473982137386646e-16,3.304238200187683,3.0156461985316128,0.21928490023128688,0.00301840016618371,1.4551915228366852e-11,True
210202,0,0.9,0.0025,OPTIMAL,True,129675.66104692756,129675.66104692762,5.820766091346741e-11,76152.87461821851,5.820766091346741e-11,53522.786428709056,7.275957614183426e-12,True,6.264144758461043e-11,0.625914727624082,2.4491519923230953e-13,,12,0.9407687543553006,30,30,248,248,166,"[6, 29, 26, 29, 27, 18, 12, 19]",[166],129675.6610469278,129675.66104692756,0.0,1.1001199001912028,0.939022000413388,0.11681860033422709,0.003042199881747365,2.1100277081131935e-10,True
210202,0,0.9,0.05,OPTIMAL,True,132317.889406036,132317.88940603577,2.3283064365386963e-10,76152.87461821854,7.275957614183426e-11,56165.01478781746,2.546585164964199e-10,True,1.5774048733874224e-11,0.6066947188899865,1.6919798895287386e-13,,12,0.9341780669549339,12,12,104,104,52,"[1, 11, 9, 10, 8, 5, 3, 5]",[52],132317.889406036,132317.889406036,0.0,0.378370099933818,0.30682709952816367,0.04594949958845973,0.0030420999974012375,7.275957614183426e-12,True
210202,0,0.9,0.2,OPTIMAL,True,143862.13300720166,143862.13300720154,1.1641532182693481e-10,76152.87461821859,1.4551915228366852e-11,67709.25838898306,1.1641532182693481e-10,True,6.977529665164184e-12,0.5595680611157162,8.992806499463768e-15,,12,0.9302508454738253,7,7,64,64,33,"[1, 6, 4, 4, 4, 4, 4, 6]",[33],143862.13300720163,143862.13300720166,2.023036211709497e-16,0.11014189990237355,0.06381619977764785,0.027154899900779128,0.0031409000512212515,0.0,True
210202,0,1.0,0.0,OPTIMAL,True,108999.13573275987,108999.13573275975,1.1641532182693481e-10,84614.30513135396,2.9103830456733704e-11,24384.830601405913,1.0186340659856796e-10,True,5.484526610644025e-09,0.7946773732410872,4.440892098500626e-15,,12,0.9828897811034217,52,52,424,424,323,"[39, 38, 41, 38, 36, 51, 42, 38]",[323],108999.13573275978,108999.13573275987,8.010292080137981e-16,1.648733199806884,1.3771092002280056,0.20309060020372272,0.003915299894288182,9.458744898438454e-11,True
210202,0,1.0,0.0025,OPTIMAL,True,108999.13573275966,108999.13573275974,7.275957614183426e-11,84614.30513135398,1.4551915228366852e-11,24384.830601405694,9.822542779147625e-11,True,2.1523760551644955e-10,0.7946773732424137,1.3309353619206377e-12,,12,0.9828897811035328,20,20,168,168,128,"[16, 19, 19, 19, 18, 16, 9, 12]",[128],108999.13573275969,108999.13573275966,0.0,0.6208542000968009,0.503593300934881,0.08134480030275881,0.0034564000088721514,2.1827872842550278e-11,True
210202,0,1.0,0.05,OPTIMAL,True,108999.13573275966,108999.13573275965,1.4551915228366852e-11,84614.30513135395,4.3655745685100555e-11,24384.830601405723,3.637978807091713e-11,True,1.2013856576231774e-10,0.7946773732421526,1.0698109065288008e-12,,12,0.9828897811035121,8,8,72,72,46,"[6, 7, 7, 7, 7, 4, 4, 4]",[46],108999.13573275966,108999.13573275966,0.0,0.11908510001376271,0.06739540002308786,0.030241000233218074,0.0030313001479953527,2.9103830456733704e-11,True
210202,0,1.0,0.2,OPTIMAL,True,108999.13573275972,108999.13573275963,8.731149137020111e-11,84614.30513135395,4.3655745685100555e-11,24384.83060140578,3.637978807091713e-11,True,1.389821591146756e-11,0.7946773732410906,7.771561172376096e-15,,12,0.9828897811034111,6,6,56,56,32,"[3, 5, 4, 5, 4, 4, 3, 4]",[32],108999.13573275974,108999.13573275972,0.0,0.08803820004686713,0.04251209949143231,0.027655399637296796,0.0030156001448631287,7.275957614183426e-12,True
210202,0,1.1,0.0,OPTIMAL,True,108999.13573275975,108999.13573275978,2.9103830456733704e-11,84614.3051313539,1.4551915228366852e-11,24384.83060140585,3.637978807091713e-12,True,2.480931016179966e-10,0.7946773732410817,1.1102230246251565e-15,,12,0.9828897811034231,49,49,400,400,338,"[38, 46, 42, 43, 35, 46, 45, 43]",[338],108999.13573275975,108999.13573275975,0.0,1.5711445999331772,1.3072373997420073,0.19760160008445382,0.0029978000093251467,3.637978807091713e-12,True
210202,0,1.1,0.0025,OPTIMAL,True,108999.13573275929,108999.13573275978,4.94765117764473e-10,84614.30513135392,1.4551915228366852e-11,24384.83060140537,4.838511813431978e-10,True,8.51017034619872e-11,0.7946773732410873,4.551914400963142e-15,,12,0.9828897811034228,30,30,248,248,186,"[25, 29, 26, 29, 28, 22, 11, 16]",[186],108999.13573275975,108999.13573275929,0.0,1.0083959999028593,0.8342425003647804,0.12381299934349954,0.003127400064840913,4.729372449219227e-10,True
