case,gamma,beta,lambda_r,comparison_status,objective_difference,first_stage_difference,robust_recourse_difference,maximum_x_difference,fr_min_difference,exact_certification_pass,prb_certification_pass,exact_first_stage_feasible,prb_first_stage_feasible
210202,0,0.9,0.0,EXACT_SOLUTION_IDENTITY,3.2014213502407074e-10,1.3096723705530167e-10,4.511093720793724e-10,3.22060600410623e-10,7.083222897108499e-14,True,True,True,True
210202,0,0.9,0.0025,EXACT_SOLUTION_IDENTITY,5.820766091346741e-11,5.820766091346741e-11,7.275957614183426e-12,6.264144758461043e-11,2.4491519923230953e-13,True,True,True,True
210202,0,0.9,0.05,EXACT_SOLUTION_IDENTITY,2.3283064365386963e-10,7.275957614183426e-11,2.546585164964199e-10,1.5774048733874224e-11,1.6919798895287386e-13,True,True,True,True
210202,0,0.9,0.2,EXACT_SOLUTION_IDENTITY,1.1641532182693481e-10,1.4551915228366852e-11,1.1641532182693481e-10,6.977529665164184e-12,8.992806499463768e-15,True,True,True,True
210202,0,1.0,0.0,EXACT_SOLUTION_IDENTITY,1.1641532182693481e-10,2.9103830456733704e-11,1.0186340659856796e-10,5.484526610644025e-09,4.440892098500626e-15,True,True,True,True
210202,0,1.0,0.0025,EXACT_SOLUTION_IDENTITY,7.275957614183426e-11,1.4551915228366852e-11,9.822542779147625e-11,2.1523760551644955e-10,1.3309353619206377e-12,True,True,True,True
210202,0,1.0,0.05,EXACT_SOLUTION_IDENTITY,1.4551915228366852e-11,4.3655745685100555e-11,3.637978807091713e-11,1.2013856576231774e-10,1.0698109065288008e-12,True,True,True,True
210202,0,1.0,0.2,EXACT_SOLUTION_IDENTITY,8.731149137020111e-11,4.3655745685100555e-11,3.637978807091713e-11,1.389821591146756e-11,7.771561172376096e-15,True,True,True,True
210202,0,1.1,0.0,EXACT_SOLUTION_IDENTITY,2.9103830456733704e-11,1.4551915228366852e-11,3.637978807091713e-12,2.480931016179966e-10,1.1102230246251565e-15,True,True,True,True
210202,0,1.1,0.0025,EXACT_SOLUTION_IDENTITY,4.94765117764473e-10,1.4551915228366852e-11,4.838511813431978e-10,8.51017034619872e-11,4.551914400963142e-15,True,True,True,True
