case,sample,product,g,generation_iteration,violation_at_generation,dual_feasible,strong_duality_error,generation_tightness_error,cut_rhs_at_sample,exact_value_at_sample,validity_violation
210202,1,BAC---1041,0,1,19057.03428571429,True,3.637978807091713e-12,3.637978807091713e-12,-9834.680719580378,4060.9263966374465,0.0
210202,1,BAC---1041,1,1,22739.30285714286,True,0.0,0.0,-6152.412148151805,5528.265771921074,0.0
210202,1,BAC---1041,2,1,23392.91314285714,True,0.0,0.0,-5498.801862437522,5676.345127983164,0.0
210202,1,BAC-O-4312,0,1,20797.660000000003,True,0.0,0.0,-7679.5281220485485,1215.852366780696,0.0
210202,1,BAC-O-4312,1,1,26434.668000000005,True,0.0,0.0,-2042.520122048547,1757.420165722076,0.0
210202,1,BAC-O-4312,2,1,27420.718000000008,True,0.0,0.0,-1056.470122048544,2011.8607941354257,0.0
210202,1,BAC-O-4325,0,1,53153.425,True,0.0,0.0,-26704.355277277515,2450.292531470057,0.0
210202,1,BAC-O-4325,1,1,56247.49,True,0.0,0.0,-23610.29027727752,2782.7897056933202,0.0
210202,1,BAC-O-4325,2,1,58832.54,True,0.0,0.0,-21025.240277277517,3044.015932259672,0.0
210202,1,BAC-O-6423,0,1,41994.30857142857,True,0.0,0.0,2826.6070684562146,4769.359263060168,0.0
210202,1,BAC-O-6423,1,1,44143.36457142857,True,0.0,0.0,4975.6630684562115,6805.034682988025,0.0
210202,1,BAC-O-6423,2,1,45985.41257142858,True,0.0,0.0,6817.711068456221,8343.222199839909,0.0
210202,1,BAC-O-6433,0,1,58472.955357142855,True,0.0,0.0,6002.880459208907,12170.07915473662,0.0
210202,1,BAC-O-6433,1,1,60625.09514285714,True,0.0,0.0,8155.020244923195,14159.730083308048,0.0
210202,1,BAC-O-6433,2,1,62614.74607142857,True,7.275957614183426e-12,7.275957614183426e-12,10144.671173494615,15581.702664994942,0.0
210202,1,CON-S-0130,0,1,167190.67857142858,True,0.0,0.0,-53687.279310384416,800.2482083640716,0.0
