case,sample,gamma,global_scenario_value,product_gamma_composition_value,absolute_difference,maximizing_gamma_allocation
210202,1,0,28513.884801217908,28513.884801217904,3.637978807091713e-12,"[0, 0, 0, 0, 0, 0, 0, 0]"
210202,1,1,30549.560221145763,30549.560221145763,0.0,"[0, 0, 0, 1, 0, 0, 0, 0]"
210202,1,2,32539.21114971719,32539.21114971719,0.0,"[0, 0, 0, 1, 1, 0, 0, 0]"
210202,2,0,45294.83109448372,45294.83109448372,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
210202,2,1,47284.48202305515,47284.48202305515,0.0,"[0, 0, 0, 0, 1, 0, 0, 0]"
210202,2,2,49218.408533099144,49218.408533099144,0.0,"[0, 0, 0, 0, 2, 0, 0, 0]"
210202,3,0,34487.78746132296,34487.78746132296,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
210202,3,1,36477.438389894385,36477.438389894385,0.0,"[0, 0, 0, 0, 1, 0, 0, 0]"
210202,3,2,38108.35425118173,38108.354251181736,7.275957614183426e-12,"[0, 0, 0, 0, 2, 0, 0, 0]"
210628,1,0,18585.56930539345,18585.56930539345,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
210628,1,1,20723.30930539345,20723.309305393446,3.637978807091713e-12,"[0, 0, 0, 0, 1, 0, 0, 0]"
210628,1,2,22300.61606632048,22300.61606632048,0.0,"[0, 0, 0, 0, 2, 0, 0, 0]"
210628,2,0,18138.351816422255,18138.351816422255,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
210628,2,1,20276.091816422257,20276.091816422257,0.0,"[0, 0, 0, 0, 1, 0, 0, 0]"
210628,2,2,21850.343295719533,21850.343295719533,0.0,"[0, 0, 0, 0, 2, 0, 0, 0]"
210628,3,0,21356.082646747767,21356.082646747767,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
210628,3,1,23493.822646747765,23493.822646747765,0.0,"[0, 0, 0, 0, 1, 0, 0, 0]"
210628,3,2,25777.88254314551,25777.88254314551,0.0,"[0, 2, 0, 0, 0, 0, 0, 0]"
