case,iteration,potential_product_risk_states,exact_state_solves,cache_hits,cache_misses,cache_avoided_state_solves,screening_avoided_state_solves,screened_products,individual_bound_safe_states,gamma_bound_safe_states,newly_violated_states,states_generating_new_cut,exact_states_without_new_cut,allocation,states_in_gamma_allocation,final_verification_state_solves,missed_violations_at_final_verification,exact_states_without_new_information_fraction,states_matching_final_gamma_allocation,states_not_in_final_gamma_allocation
210202,1,24,24,0,8,0,0,0,0,0,24,24,0,"[0, 0, 0, 0, 0, 1, 1, 0]",8,0,0,0.0,8,16
210202,2,24,6,6,2,18,0,0,0,0,3,3,3,"[0, 0, 0, 0, 0, 0, 2, 0]",8,0,0,0.5,8,16
210202,3,24,6,6,2,18,0,0,0,0,4,4,2,"[0, 0, 0, 0, 0, 0, 2, 0]",8,0,0,0.3333333333333333,8,16
210202,4,24,6,6,2,18,0,0,0,0,0,0,6,"[0, 0, 0, 0, 0, 0, 2, 0]",8,0,0,1.0,8,16
L,1,36,36,0,12,0,0,0,0,0,36,36,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",12,0,0,0.0,12,24
L,2,36,6,10,2,30,0,0,0,0,4,4,2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",12,0,0,0.3333333333333333,12,24
L,3,36,6,10,2,30,0,0,0,0,4,4,2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",12,0,0,0.3333333333333333,12,24
L,4,36,6,10,2,30,0,0,0,0,2,2,4,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",12,0,0,0.6666666666666666,12,24
L,5,36,6,10,2,30,0,0,0,0,2,2,4,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",12,0,0,0.6666666666666666,12,24
L,6,36,6,10,2,30,0,0,0,0,0,0,6,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",12,0,0,1.0,12,24
XL_low,1,42,42,0,14,0,0,0,0,0,42,42,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",14,0,0,0.0,14,28
XL_low,2,42,9,11,3,33,0,0,0,0,6,6,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",14,0,0,0.3333333333333333,14,28
XL_low,3,42,9,11,3,33,0,0,0,0,6,6,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",14,0,0,0.3333333333333333,14,28
XL_low,4,42,9,11,3,33,0,0,0,0,5,5,4,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",14,0,0,0.4444444444444444,14,28
XL_low,5,42,9,11,3,33,0,0,0,0,1,1,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",14,0,0,0.8888888888888888,14,28
XL_low,6,42,9,11,3,33,0,0,0,0,0,0,9,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",14,0,0,1.0,14,28
