case,depot_id,L0,capacity,rhoC,compatible,absolute_excess,selected_product_stock
210202,90015100,0.0,28344.19218914714,0.0,yes,0.0,0.0
210202,90016100,0.0,38416.84772718565,0.0,yes,0.0,0.0
210202,90016200,0.0,63575.28799273651,0.0,yes,0.0,0.0
210202,90016500,0.0,2668.6751505963607,0.0,yes,0.0,0.0
210202,90016700,0.0,49876.94602261422,0.0,yes,0.0,0.0
210202,90016900,0.0,61743.43871152488,0.0,yes,0.0,0.0
210202,90017100,0.0,60486.802402655885,0.0,yes,0.0,0.0
210202,90018300,0.0,2708.364286686084,0.0,yes,0.0,0.0
210202,90019100,0.0,5224.431914007873,0.0,yes,0.0,0.0
210202,91017200,0.0,44063.3260883448,0.0,yes,0.0,0.0
210202,91017300,0.0,103219.7039291198,0.0,yes,0.0,0.0
210202,91017500,0.0,6325.66569001852,0.0,yes,0.0,0.0
210202,91017600,0.0,3430.03576121895,0.0,yes,0.0,0.0
210202,91017700,0.0,46939.949951974646,0.0,yes,0.0,0.0
210202,9624708,0.0,678.0693250258453,0.0,yes,0.0,0.0
210628,90015100,0.0,33093.61695981282,0.0,yes,0.0,0.0
210628,90015700,0.0,726.218408959425,0.0,yes,0.0,0.0
210628,90016100,0.0,69053.12343841797,0.0,yes,0.0,0.0
210628,90016200,0.0,5962.8991600679165,0.0,yes,0.0,0.0
210628,90016500,0.0,2051.678388501934,0.0,yes,0.0,0.0
210628,90016900,0.0,58903.887023635325,0.0,yes,0.0,0.0
210628,90017100,0.0,38045.71365649012,0.0,yes,0.0,0.0
210628,90018300,0.0,2796.831940026252,0.0,yes,0.0,0.0
210628,90018400,0.0,612.0506376122762,0.0,yes,0.0,0.0
210628,90019100,0.0,2663.1721101564194,0.0,yes,0.0,0.0
210628,91017200,0.0,38593.16204299865,0.0,yes,0.0,0.0
210628,91017300,0.0,48428.29785758718,0.0,yes,0.0,0.0
210628,91017500,0.0,14289.906560958505,0.0,yes,0.0,0.0
210628,91017600,0.0,4774.440506141987,0.0,yes,0.0,0.0
210628,9624708,0.0,860.4351547870489,0.0,yes,0.0,0.0
