case,gamma,beta,lambda_r,scenario_count,fr_min_robust,average_fill_rate_in_worst_service_scenario,worst_region,worst_scenario,total_shortage_in_worst_service_scenario,robust_recourse_from_direct_scenarios
210202,0,0.9,0.0,1,0.6259147276243207,0.9413028821711388,12,,795.538867605824,53347.23034234395
210202,0,0.9,0.0025,1,0.6259147276243269,0.9407687543553173,12,,799.1662059070181,53522.78642870905
210202,0,0.9,0.05,1,0.6066947188901557,0.9341780669550289,12,,867.9525007888807,56165.014787817214
210202,0,0.9,0.2,1,0.5595680611157252,0.9302508454738194,12,,950.9492775093502,67709.25838898294
210202,0,1.0,0.0,1,0.7946773732410828,0.9828897811034233,12,,361.60247752627674,24384.83060140581
210202,0,1.0,0.0025,1,0.7946773732410828,0.9828897811034233,12,,361.60247752627674,24384.83060140581
210202,0,1.0,0.05,1,0.7946773732410828,0.9828897811034233,12,,361.60247752627674,24384.83060140581
210202,0,1.0,0.2,1,0.7946773732410828,0.9828897811034233,12,,361.60247752627674,24384.83060140581
210202,0,1.1,0.0,1,0.7946773732410828,0.9828897811034233,12,,361.60247752627674,24384.83060140581
210202,0,1.1,0.0025,1,0.7946773732410828,0.9828897811034233,12,,361.60247752627674,24384.83060140581
210202,0,1.1,0.05,1,0.7946773732410828,0.9828897811034233,12,,361.60247752627674,24384.83060140581
210202,0,1.1,0.2,1,0.7946773732410828,0.9828897811034233,12,,361.60247752627674,24384.83060140581
210202,1,0.9,0.0,97,0.5625817630695378,0.9312605871240688,12,1:BAC-O-6433,945.6417178398299,57901.22135074305
210202,1,0.9,0.0025,97,0.5607502993843352,0.9311079651502951,12,1:BAC-O-6433,948.8671870271558,58315.20893029522
210202,1,0.9,0.05,97,0.5559801953662786,0.9307104564821348,12,1:BAC-O-6433,957.2680216463602,62002.02875594095
210202,1,0.9,0.2,97,0.4501697848245433,0.9078691390379348,12,1:BAC-O-6433,1221.029556097857,76277.26434189465
210202,1,1.0,0.0,97,0.7496847464549206,0.97914039553791,12,1:BAC-O-6433,440.8409208148202,28600.149791194843
210202,1,1.0,0.0025,97,0.7496286981461802,0.979135724845515,12,1:BAC-O-6433,440.93962989341287,28603.025661587555
210202,1,1.0,0.05,97,0.7495539535663616,0.97912949613053,12,1:BAC-O-6433,441.07126577627093,28612.55067939451
210202,1,1.0,0.2,97,0.7491944151601646,0.9790995345966799,12,1:BAC-O-6433,441.7044642722144,28646.186878676912
210202,1,1.1,0.0,97,0.7672918223285893,0.9806076518607151,12,1:BAC-O-6433,409.83234490473757,27706.389219924877
210202,1,1.1,0.0025,97,0.767276333288688,0.9806063611073906,12,1:BAC-O-6433,409.8596233167221,27707.123102851125
210202,1,1.1,0.05,97,0.763757300452332,0.9803131083710276,12,1:BAC-O-6433,416.05714286052154,27709.30406074711
210202,1,1.1,0.2,97,0.7637573004521454,0.980313108371012,12,1:BAC-O-6433,416.0571428608503,27717.41313112724
210202,2,0.9,0.0,4657,0.5261081929754312,0.9284088780420893,12,1:BAC-O-6433;7:BAC-O-6433,1009.8768852855557,63666.42601175056
210202,2,0.9,0.0025,4657,0.525166562831369,0.9283304088634172,12,1:BAC-O-6433;7:BAC-O-6433,1011.5352304878415,64122.42995357131
210202,2,0.9,0.05,4657,0.4386292670884304,0.9211189675514975,12,1:BAC-O-6433;7:BAC-O-6433,1163.9397707619955,69669.68695946122
210202,2,0.9,0.2,4657,0.23654949034596118,0.891184339151463,12,1:BAC-O-6433;5:BAC-O-4325,1604.979434394761,85299.40535222724
210202,2,1.0,0.0,4657,0.713139906584905,0.9760949922154087,12,1:BAC-O-6433;12:BAC---1041,529.974022584388,32200.809813152537
210202,2,1.0,0.0025,4657,0.7129860768919952,0.9760821730743329,12,1:BAC-O-6433;12:BAC---1041,530.258222942039,32210.375317309175
