scale,seed,prepare_status,pure_status,aggregate_status,prb_status,triple_certified
L10,20260921,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
L10,20260922,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
L10,20260923,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
L10,20260924,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
L10,20260925,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
L10,20260926,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
L10,20260927,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
L10,20260928,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
L10,20260929,OPTIMAL,ERROR,OPTIMAL,OPTIMAL,False
L10,20260930,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XL10,20260921,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XL10,20260922,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XL10,20260923,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XL10,20260924,OPTIMAL,ERROR,OPTIMAL,OPTIMAL,False
XL10,20260925,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XL10,20260926,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XL10,20260927,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XL10,20260928,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XL10,20260929,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XL10,20260930,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XXL10,20260921,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XXL10,20260922,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XXL10,20260923,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XXL10,20260924,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XXL10,20260925,OPTIMAL,ERROR,OPTIMAL,OPTIMAL,False
XXL10,20260926,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XXL10,20260927,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XXL10,20260928,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XXL10,20260929,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
XXL10,20260930,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,True
