scale,method,n_total,n_certified,certification_rate,n_timeout,n_resource_stop,n_error,tcore_median,tcore_q1,tcore_q3,iterations_median,iterations_q1,iterations_q3,master_median,master_q1,master_q3,oracle_median,oracle_q1,oracle_q3,iter90_median,iter90_q1,iter90_q3,iter95_median,iter95_q1,iter95_q3,iter99_median,iter99_q1,iter99_q3
L10,pure_benders,10,9,0.9,0,0,1,1.407714999979362,1.13460039999336,1.5724656999809667,13.0,10.0,17.0,0.21040879999054596,0.20371960004558787,0.3069621000031475,0.38330929999938235,0.3163969999877736,0.4294893000042066,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
L10,aggregate_benders_structured_oracle,10,10,1.0,0,0,0,31.037082400012878,28.522603949975746,38.2631720250065,10.0,8.25,13.5,0.15038389999244828,0.1276328000240028,0.2168737250540289,20.001741249943734,17.095839475019602,27.115246674991795,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
L10,prb_benders,10,10,1.0,0,0,0,25.60967089998303,21.63494994999928,26.873153775006358,6.5,5.25,7.75,0.12460529997770209,0.08554164999804925,0.15085687501414213,14.025000849971548,10.695252625038847,15.198298774994328,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
XL10,pure_benders,10,9,0.9,0,0,1,1.7846352999913506,1.71449610000127,2.3217841000005137,12.0,11.0,13.0,0.25227000011364,0.23625470002298243,0.3103595999418758,0.46766799996839836,0.44001010005013086,0.6085050000692718,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
XL10,aggregate_benders_structured_oracle,10,10,1.0,0,0,0,100.55660589999752,95.42905659999815,103.97939385000063,12.5,11.25,13.0,0.262233000001288,0.1974406999797793,0.33352249997551553,71.55697189996135,66.5818396750401,74.56786865000322,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
XL10,prb_benders,10,10,1.0,0,0,0,64.70440465000866,62.10601282501011,66.0133378500177,6.0,5.25,6.0,0.13710490001540165,0.12136052497226046,0.1438652249998995,33.235459749994334,30.162806724954862,34.42761240000982,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
XXL10,pure_benders,10,9,0.9,0,0,1,3.0908850000123493,2.809351300005801,3.3615017000120133,14.0,13.0,16.0,0.3713168000103906,0.34902149994741194,0.4528973000997212,0.8239145000407007,0.7723059000563808,0.8705982000101358,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
XXL10,aggregate_benders_structured_oracle,10,10,1.0,0,0,0,275.00826610000513,263.4342527749832,291.65367044999584,13.0,12.25,13.75,0.40944939997280017,0.34309164997102926,0.47297244996298105,207.02299225000024,195.47467595001945,223.31972175001283,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
XXL10,prb_benders,10,10,1.0,0,0,0,171.34281529999862,168.76495347500168,184.96713357501721,6.0,6.0,7.0,0.21773509998456575,0.1785427249778877,0.23351139996520942,78.37580809999781,75.4302634249907,87.47030704997451,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pooled,pure_benders,30,27,0.9,0,0,3,1.8575377000088338,1.5259869000001345,3.0100843500113115,13.0,11.5,16.0,0.3069621000031475,0.22576745004334953,0.3864204000128666,0.5970749000262003,0.4234802999999374,0.8007751499972073,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pooled,aggregate_benders_structured_oracle,30,30,1.0,0,0,0,101.26560270000482,40.51456780001172,261.3753063999902,12.5,10.25,13.75,0.26432454999303445,0.19015865000255872,0.3849441250349628,72.33576404994528,29.355966300005093,198.54736784999113,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pooled,prb_benders,30,30,1.0,0,0,0,64.70440465000866,27.124794425013533,166.76090460000705,6.0,5.25,7.0,0.1432325499918079,0.12438344998372486,0.20054037499357946,33.59604735004541,15.640612425006111,74.3309517250018,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
