scale,seed,pure_iterations,aggregate_iterations,prb_iterations,prb_over_aggregate_iteration_ratio,prb_over_pure_iteration_ratio,aggregate_over_prb_tcore_ratio,pure_over_prb_tcore_ratio
L10,20260921,10,8,7,0.875,0.7,1.1159750668894333,0.047432559153605544
L10,20260922,8,8,5,0.625,0.625,1.2554837132530092,0.04034601314221232
L10,20260923,70,52,18,0.34615384615384615,0.2571428571428571,2.4032914495627478,0.13866003142023342
L10,20260924,17,12,8,0.6666666666666666,0.47058823529411764,1.2805197375997954,0.0580034965540429
L10,20260925,13,9,4,0.4444444444444444,0.3076923076923077,1.546697741375802,0.07401365045851784
L10,20260926,15,14,6,0.42857142857142855,0.4,1.643473085066815,0.06016474550149133
L10,20260927,11,10,5,0.5,0.45454545454545453,1.4681594373442117,0.05429617417420582
L10,20260928,8,8,6,0.75,0.75,1.0146652829926937,0.03131734906833012
L10,20260930,18,17,8,0.47058823529411764,0.4444444444444444,1.6662846605154147,0.05892483693303533
XL10,20260921,16,15,6,0.4,0.375,1.748050605411855,0.035199416047799435
XL10,20260922,9,9,6,0.6666666666666666,0.6666666666666666,1.437209026108704,0.03589947605964941
XL10,20260923,37,37,13,0.35135135135135137,0.35135135135135137,2.2964577177504433,0.06565616866236967
XL10,20260925,12,13,6,0.46153846153846156,0.5,1.5651779756851052,0.026485161472656636
XL10,20260926,10,11,6,0.5454545454545454,0.6,1.434437357799312,0.022344772395927383
XL10,20260927,13,13,5,0.38461538461538464,0.38461538461538464,1.710382253401465,0.03029685040985584
XL10,20260928,11,8,5,0.625,0.45454545454545453,1.3107350326506158,0.027701027071785095
XL10,20260929,12,12,5,0.4166666666666667,0.4166666666666667,1.6505552497604807,0.030265640878093643
XL10,20260930,13,13,6,0.46153846153846156,0.46153846153846156,1.5693930270283682,0.027672922487151287
XXL10,20260921,14,15,6,0.4,0.42857142857142855,1.7793857208184638,0.018446417075521044
XXL10,20260922,14,13,5,0.38461538461538464,0.35714285714285715,1.7620582947107046,0.01964715934600608
XXL10,20260923,16,13,6,0.46153846153846156,0.375,1.5792927803514318,0.019855335064738935
XXL10,20260924,16,16,7,0.4375,0.4375,1.7134382274569278,0.018261317744634176
XXL10,20260926,17,12,6,0.5,0.35294117647058826,1.5117780503003633,0.02085776157773739
XXL10,20260927,12,14,5,0.35714285714285715,0.4166666666666667,1.8310529982214017,0.016676768282245954
XXL10,20260928,13,13,6,0.46153846153846156,0.46153846153846156,1.612038416329483,0.016600495119241644
XXL10,20260929,14,12,8,0.6666666666666666,0.5714285714285714,1.3465029207728454,0.015220807521412026
XXL10,20260930,13,11,7,0.6363636363636364,0.5384615384615384,1.3172405410359147,0.01480300313317246
