case_id,customer_count,covered_customers,coverage_ratio,common_reference_customers,nearest_center_assignments,region_id,customers_in_region,empty_region,center_customer_id,center_latitude,center_longitude,mapping_sha256
210202,551,551,1.0,298,253,1,14,False,40771302,35.66,-5.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,2,70,False,1925732,41.89,-5.06,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,3,23,False,2571500,40.49,-3.41,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,4,11,False,28237800,54.53,-1.36,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,5,72,False,239414,48.37,0.56,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,6,37,False,2814600,41.57,1.67,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,7,124,False,7235904,48.82,4.98,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,8,38,False,3043109,50.1,11.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,9,51,False,26367200,47.86,17.78,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,10,44,False,11509705,49.83,18.97,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,11,64,False,23342502,44.97,24.93,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
210202,551,551,1.0,298,253,12,3,False,27752300,41.62,25.38,0bcdd7bb99926ed780c56764c531b76971dbb0bf24e77198766a754d9dde95ff
