scope,case_or_scale,I,R,J,method,status,exact_certification,objective,lower_bound,upper_bound,absolute_gap,T_core_seconds,master_seconds,oracle_or_subproblem_seconds,certification_seconds,iterations,cuts,objective_abs_diff_vs_prb,decision_comparison_vs_prb,notes
empirical,210202,15,12,8,Pure Benders,OPTIMAL,CERTIFIED_PURE_BENDERS_EXACT,1058780.7942496866,1058780.7942496866,1058780.7942496866,0,0.41859719999774825,0.06973239999206271,0.21662959997775033,0.06623270000272896,9,8,0,EXACT_DECISION_IDENTITY,10 global MILP calls including final certification
empirical,210202,15,12,8,PRB-Benders,OPTIMAL,CERTIFIED_PRB_EXACT,1058780.7942496866,1058780.7942496866,1058780.7942496866,0,1.2333677001297474,0.04085769993253052,0.5004560998640954,0.09904590016230941,4,31,0,REFERENCE,120 product subproblem evaluations
empirical,210202,15,12,8,Aggregate Benders + Structured Oracle,OPTIMAL,CERTIFIED_STANDARD_BENDERS_EXACT,1058780.7942496866,1058780.7942496866,1058780.7942496866,0,1.6073459000035655,,,,,,0,,Frozen E1b aggregate baseline
empirical,210202,15,12,8,Direct Exact,OPTIMAL,CERTIFIED_EXACT,1058780.7942496864,1058780.7942496864,1058780.7942496864,0,3.3410000801086426,,,,,,2.3283064365386963e-10,,Frozen E1a direct result
development,L,25,24,12,Pure Benders,OPTIMAL,true,2537677.659296398,,,,0.7585354000002553,0.09865020000052027,0.22390919999998005,0.26540520000025936,7,6,4.656612873077393e-10,EXACT_DECISION_IDENTITY,development only
development,L,25,24,12,PRB-Benders,OPTIMAL,true,2537677.6592963985,,,,22.586865600000237,0.09128010000040376,11.59702709999965,1.7172842999998466,6,48,0,REFERENCE,development only
development,L,25,24,12,Aggregate Benders + Structured Oracle,OPTIMAL,true,2537677.6592963985,,,,27.108113400000093,0.07084600000007413,15.53048809999973,1.9769702999997207,7,6,0,,development only
development,L,25,24,12,Direct Exact,OPTIMAL,true,2537677.659295714,,,,106.89872299999979,,,,,,6.845220923423767e-7,,development only
development,XL_low,30,30,14,Pure Benders,OPTIMAL,true,3410117.8260541093,,,,1.7527012000000468,0.2634137000004557,0.4592088999997941,0.6934126000001015,12,11,8.260831236839294e-7,NUMERICAL_EQUIVALENCE,development only
development,XL_low,30,30,14,PRB-Benders,OPTIMAL,true,3410117.8260549353,,,,65.09377610000001,0.124758799999654,33.3956075000001,5.035496899999998,6,60,0,REFERENCE,development only
development,XL_low,30,30,14,Aggregate Benders + Structured Oracle,OPTIMAL,true,3410117.826054868,,,,88.59402069999987,0.16394320000017615,58.5002984000007,5.005083900000045,10,9,6.705522537231445e-8,,development only
development,XL_low,30,30,14,Direct Exact,RESOURCE_STOP,false,,,,,,,,,,,,NOT_AVAILABLE,Development resource stop before objective
