gamma,method,objective,status,certified,T_core_seconds,master_time_seconds,oracle_time_seconds,certification_time_seconds,iterations,cuts,peak_memory_gib,runtime_ratio_vs_pure,objective_diff_vs_pure,lower_bound,upper_bound,relative_gap,product_risk_blocks,development_only
2,pure_benders,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,true
2,aggregate_benders_structured_oracle,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,3612,true
2,prb_benders,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,3612,true
4,pure_benders,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,true
4,aggregate_benders_structured_oracle,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,155412,true
4,prb_benders,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,155412,true
6,pure_benders,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,true
6,aggregate_benders_structured_oracle,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,2280612,true
6,prb_benders,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,2280612,true
8,pure_benders,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,true
8,aggregate_benders_structured_oracle,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,15259512,true
8,prb_benders,NOT_AVAILABLE,NOT_RUN_RESOURCE_PREFLIGHT_BLOCK,false,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,15259512,true
