evidence_set,scale_or_case,I,R,J,Gamma,method,T_core_seconds,master_time_seconds,oracle_time_seconds,certification_time_seconds,residual_time_seconds,iterations,cuts,peak_memory_gib,objective,lower_bound,upper_bound,relative_gap,status,certification,source_artifact
RENAULT_EMPIRICAL_8CASE_V1,210129,15,12,8,2,pure_benders,0.4067098000086844,0.078798899994581,0.1568655999872135,0.08995180002239067,0.08109350000449922,9,8,NOT_RECORDED,851260.2478325499,851260.24783255,851260.2478325499,0,OPTIMAL,CERTIFIED_PURE_BENDERS_EXACT,experiments/results/e1b_pure_benders_v1/E1B-210129-PURE/result.json
RENAULT_EMPIRICAL_8CASE_V1,210129,15,12,8,2,aggregate_benders_structured_oracle,1.5155339000048116,0.05275600000459235,0.818868400005158,0.0948672000085935,0.5490422999864677,8,7,NOT_RECORDED,851260.2478325497,851260.24783255,851260.2478325497,0,OPTIMAL,CERTIFIED_STANDARD_BENDERS_EXACT,experiments/results/e1b_standard_vs_prb_v1/E1B-210129-STANDARD/result.json
RENAULT_EMPIRICAL_8CASE_V1,210129,15,12,8,2,prb_benders,1.1686394000425935,0.04003979987464845,0.4595369999296963,0.09361280011944473,0.575449800118804,4,31,NOT_RECORDED,851260.24783255,851260.2478325501,851260.24783255,0,OPTIMAL,CERTIFIED_PRB_EXACT,experiments/results/e1_empirical_8case_v1/E1-210129-PRB/result.json
RENAULT_EMPIRICAL_8CASE_V1,210202,15,12,8,2,pure_benders,0.41859719999774825,0.06973239999206271,0.21662959997775033,0.06623270000272896,0.06600250002520625,9,8,NOT_RECORDED,1058780.7942496866,1058780.7942496866,1058780.7942496866,0,OPTIMAL,CERTIFIED_PURE_BENDERS_EXACT,experiments/results/e1b_pure_benders_v1/E1B-210202-PURE/result.json
RENAULT_EMPIRICAL_8CASE_V1,210202,15,12,8,2,aggregate_benders_structured_oracle,1.6073459000035655,0.07122089999029413,0.8281551999971271,0.09853050000674557,0.6094393000093987,8,7,NOT_RECORDED,1058780.7942496866,1058780.7942496866,1058780.7942496866,0,OPTIMAL,CERTIFIED_STANDARD_BENDERS_EXACT,experiments/results/e1b_standard_vs_prb_v1/E1B-210202-STANDARD/result.json
RENAULT_EMPIRICAL_8CASE_V1,210202,15,12,8,2,prb_benders,1.2333677001297474,0.04085769993253052,0.5004560998640954,0.09904590016230941,0.593008000170812,4,31,NOT_RECORDED,1058780.7942496866,1058780.7942496866,1058780.7942496866,0,OPTIMAL,CERTIFIED_PRB_EXACT,experiments/results/e1_empirical_8case_v1/E1-210202-PRB/result.json
RENAULT_EMPIRICAL_8CASE_V1,210310,16,12,8,2,pure_benders,0.28921959998842794,0.07607280001684558,0.08209449998685159,0.05989860001136549,0.07115369997336529,7,6,NOT_RECORDED,714814.5477077,714814.5477077011,714814.5477077,0,OPTIMAL,CERTIFIED_PURE_BENDERS_EXACT,experiments/results/e1b_pure_benders_v1/E1B-210310-PURE/result.json
RENAULT_EMPIRICAL_8CASE_V1,210310,16,12,8,2,aggregate_benders_structured_oracle,1.5025598999927752,0.04372499999590218,0.7809513000102015,0.09631150000495836,0.5815720999817131,7,6,NOT_RECORDED,714814.5477077013,714814.5477077013,714814.5477077013,0,OPTIMAL,CERTIFIED_STANDARD_BENDERS_EXACT,experiments/results/e1b_standard_vs_prb_v1/E1B-210310-STANDARD/result.json
RENAULT_EMPIRICAL_8CASE_V1,210310,16,12,8,2,prb_benders,1.3473797999322414,0.04762550047598779,0.5907666001003236,0.10273579997010529,0.6062518993858248,5,33,NOT_RECORDED,714814.5477077012,714814.547707701,714814.5477077012,3.257217475504957e-16,OPTIMAL,CERTIFIED_PRB_EXACT,experiments/results/e1_empirical_8case_v1/E1-210310-PRB/result.json
RENAULT_EMPIRICAL_8CASE_V1,210323,13,12,8,2,pure_benders,0.3415687000087928,0.0594763000117382,0.15381480001087766,0.05722919998515863,0.07104840000101831,7,6,NOT_RECORDED,627147.2289325034,627147.2289325031,627147.2289325034,3.7125356361724114e-16,OPTIMAL,CERTIFIED_PURE_BENDERS_EXACT,experiments/results/e1b_pure_benders_v1/E1B-210323-PURE/result.json
RENAULT_EMPIRICAL_8CASE_V1,210323,13,12,8,2,aggregate_benders_structured_oracle,1.3073450999945635,0.04349929997988511,0.6723707000055583,0.08695139999326784,0.5045237000158522,7,6,NOT_RECORDED,627147.2289325034,627147.2289325031,627147.2289325034,3.7125356361724114e-16,OPTIMAL,CERTIFIED_STANDARD_BENDERS_EXACT,experiments/results/e1b_standard_vs_prb_v1/E1B-210323-STANDARD/result.json
