J,I,R,Gamma,method,status,certified,objective,lower_bound,upper_bound,relative_gap,T_core_seconds,wall_clock_seconds,master_time_seconds,oracle_time_seconds,certification_time_seconds,iterations,cuts,peak_process_tree_memory_gib,global_binary_variables,product_risk_patterns_per_product,product_risk_block_count,pure_global_oracle_solve_count,pure_mean_global_oracle_solve_time_seconds,structured_block_solve_count,structured_mean_block_solve_time_seconds,structured_over_pure_oracle_time_ratio,aggregate_over_pure_total_time_ratio,prb_over_aggregate_total_time_ratio,prb_over_aggregate_master_time_ratio,exactness_gate,source_artifact
12,25,24,2,pure_benders,OPTIMAL,true,2537677.659296398,2537677.6592963985,2537677.659296398,0,0.7853891999984626,1.8852597999939462,0.1075272999732988,0.2188324000017019,0.27889250000589527,7,6,0.05651092529296875,288,301,3612,8,0.027354050000212737,NOT_APPLICABLE,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,PASS,experiments/results/prb_j_scaling_development_v1/J12/PURE_BENDERS/result.json
12,25,24,2,aggregate_benders_structured_oracle,OPTIMAL,true,2537677.6592963985,2537677.6592963985,2537677.6592963985,0,25.516722200001823,26.807966899999883,0.07557469999301247,14.194715999998152,1.775030400007381,7,6,1.8139572143554688,288,301,3612,NOT_RECORDED,NOT_RECORDED,288,0.000491234634551431,64.86569630405624,32.489270542619856,NOT_RECORDED,NOT_RECORDED,PASS,experiments/results/prb_j_scaling_development_v1/J12/AGGREGATE_BENDERS_STRUCTURED_ORACLE/result.json
12,25,24,2,prb_benders,OPTIMAL,true,2537677.6592963985,2537677.6592963985,2537677.6592963985,0,23.143569500010926,24.4967786000052,0.08613510002032854,12.055477400004747,1.869199299995671,6,48,1.8147048950195312,288,301,3612,NOT_RECORDED,NOT_RECORDED,252,0.00047680261825679273,NOT_RECORDED,NOT_RECORDED,0.9069961775893486,1.1397345940942203,PASS,experiments/results/prb_j_scaling_development_v1/J12/PRB_BENDERS/result.json
24,25,24,2,pure_benders,ERROR,false,2824418.56204558,2824418.5620455807,2824418.56204558,0,2.4574894000106724,3.1941538999963086,0.3534718999871984,0.6353859000082593,0.9131930000148714,14,13,0.075714111328125,576,301,7224,15,0.042359060000550626,NOT_APPLICABLE,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_ELIGIBLE,experiments/results/prb_j_scaling_development_v1/J24/PURE_BENDERS/result.json
24,25,24,2,aggregate_benders_structured_oracle,TIME_LIMIT,false,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,900.3536717999959,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,3.2819900512695312,576,301,7224,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_ELIGIBLE,experiments/results/prb_j_scaling_development_v1/J24/AGGREGATE_BENDERS_STRUCTURED_ORACLE/result.json
24,25,24,2,prb_benders,TIME_LIMIT,false,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,900.1856908999907,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0.044612884521484375,576,301,7224,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_ELIGIBLE,experiments/results/prb_j_scaling_development_v1/J24/PRB_BENDERS/result.json
48,25,24,2,pure_benders,ERROR,false,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,11.08236990000296,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0.11280441284179688,1152,301,14448,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_ELIGIBLE,experiments/results/prb_j_scaling_development_v1/J48/PURE_BENDERS/result.json
48,25,24,2,aggregate_benders_structured_oracle,TIME_LIMIT,false,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,900.9475296000019,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,6.497371673583984,1152,301,14448,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_ELIGIBLE,experiments/results/prb_j_scaling_development_v1/J48/AGGREGATE_BENDERS_STRUCTURED_ORACLE/result.json
48,25,24,2,prb_benders,TIME_LIMIT,false,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,900.1123224000039,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0.0425872802734375,1152,301,14448,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_ELIGIBLE,experiments/results/prb_j_scaling_development_v1/J48/PRB_BENDERS/result.json
96,25,24,2,pure_benders,NOT_RUN_PREPARATION_BLOCKED,false,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,2304,301,28896,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_ELIGIBLE,experiments/results/prb_j_scaling_development_v1/J96/PURE_BENDERS/result.json
96,25,24,2,aggregate_benders_structured_oracle,NOT_RUN_PREPARATION_BLOCKED,false,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,2304,301,28896,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_ELIGIBLE,experiments/results/prb_j_scaling_development_v1/J96/AGGREGATE_BENDERS_STRUCTURED_ORACLE/result.json
96,25,24,2,prb_benders,NOT_RUN_PREPARATION_BLOCKED,false,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,2304,301,28896,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_ELIGIBLE,experiments/results/prb_j_scaling_development_v1/J96/PRB_BENDERS/result.json
