case_id,source_file_identity,processed_audit_crc32,customer_count,depot_count,product_count,planning_days,demand_record_count,inventory_record_count,nonzero_demand_pairs,nonzero_inventory_pairs,demand_pair_density,inventory_pair_density,distance_field_available,km_cost_field_available,inventory_cost_field_available,shortage_cost_field_available,x0_reconstructible,x0_duplicate_pairs,x0_missing_or_nonfinite,raw_normalizer_consumable,selected_8_products_present,geographic_mapping_status,common_region_construction_status,product_selection_status,demand_aggregation_status,demand_deviation_status,x0_construction_status,capacity_proxy_status,inventory_ub_status,inventory_cost_status,shortage_cost_status,transport_cost_status,fixed_cost_status,service_parameters_status,b_ref_inputs_status,formal_pipeline_consumable,compatibility_classification,post_I,post_R,post_J,uncertainty_items,expected_direct_variables_gamma2,expected_direct_constraints_gamma2,post_processing_dimensions_status
210129,renault_data_pipeline/data/renault_raw/instances/instances/210129/,61990c1b,499,15,29,22,318362,435,1868,0,0.12908575772234124,0.0,True,True,True,True,True,0,0,True,True,RAW_COORDINATES_AVAILABLE_FORMAL_MAPPING_RULE_MISSING,FORMAL_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_RANKING_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_OBSERVED_VALUE_AVAILABLE_BASELINE_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,CALIBRATION_RULE_NOT_IN_ARCHIVE,CALIBRATION_RULE_NOT_IN_ARCHIVE,BLOCKED_BY_MISSING_FORMAL_INSTANCE_AND_INCUMBENT,False,REQUIRES_NEW_MODELING_ASSUMPTION,,,,,,,NOT_FROZEN
210202,renault_data_pipeline/data/renault_raw/instances/instances/210202/,7ecd7bd4,551,15,29,20,319580,435,1974,0,0.12353714249953063,0.0,True,True,True,True,True,0,0,True,True,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FROZEN_BASELINE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_EXISTING_FORMAL_INSTANCE,READY_FROZEN_INCUMBENT_AND_B_REF,True,READY_WITH_EXISTING_PIPELINE,15,12,8,96,122376,18629,FROZEN
210208,renault_data_pipeline/data/renault_raw/instances/instances/210208/,c5fd12f8,614,15,29,19,338314,435,2003,0,0.11249017185218466,0.0,True,True,True,True,True,0,0,True,True,RAW_COORDINATES_AVAILABLE_FORMAL_MAPPING_RULE_MISSING,FORMAL_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_RANKING_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_OBSERVED_VALUE_AVAILABLE_BASELINE_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,CALIBRATION_RULE_NOT_IN_ARCHIVE,CALIBRATION_RULE_NOT_IN_ARCHIVE,BLOCKED_BY_MISSING_FORMAL_INSTANCE_AND_INCUMBENT,False,REQUIRES_NEW_MODELING_ASSUMPTION,,,,,,,NOT_FROZEN
210209,renault_data_pipeline/data/renault_raw/instances/instances/210209/,b4e757b4,611,15,29,20,354380,435,1989,0,0.11225238444607484,0.0,True,True,True,True,True,0,0,True,True,RAW_COORDINATES_AVAILABLE_FORMAL_MAPPING_RULE_MISSING,FORMAL_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_RANKING_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_OBSERVED_VALUE_AVAILABLE_BASELINE_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,CALIBRATION_RULE_NOT_IN_ARCHIVE,CALIBRATION_RULE_NOT_IN_ARCHIVE,BLOCKED_BY_MISSING_FORMAL_INSTANCE_AND_INCUMBENT,False,REQUIRES_NEW_MODELING_ASSUMPTION,,,,,,,NOT_FROZEN
210210,renault_data_pipeline/data/renault_raw/instances/instances/210210/,a93e1793,536,15,29,21,326424,435,1891,0,0.12165465774575399,0.0,True,True,True,True,True,0,0,True,True,RAW_COORDINATES_AVAILABLE_FORMAL_MAPPING_RULE_MISSING,FORMAL_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_RANKING_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_OBSERVED_VALUE_AVAILABLE_BASELINE_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,CALIBRATION_RULE_NOT_IN_ARCHIVE,CALIBRATION_RULE_NOT_IN_ARCHIVE,BLOCKED_BY_MISSING_FORMAL_INSTANCE_AND_INCUMBENT,False,REQUIRES_NEW_MODELING_ASSUMPTION,,,,,,,NOT_FROZEN
210212,renault_data_pipeline/data/renault_raw/instances/instances/210212/,72c7ac5f,547,15,29,22,348986,435,1881,0,0.11857782260606442,0.0,True,True,True,True,True,0,0,True,True,RAW_COORDINATES_AVAILABLE_FORMAL_MAPPING_RULE_MISSING,FORMAL_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_RANKING_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_OBSERVED_VALUE_AVAILABLE_BASELINE_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,CALIBRATION_RULE_NOT_IN_ARCHIVE,CALIBRATION_RULE_NOT_IN_ARCHIVE,BLOCKED_BY_MISSING_FORMAL_INSTANCE_AND_INCUMBENT,False,REQUIRES_NEW_MODELING_ASSUMPTION,,,,,,,NOT_FROZEN
210215,renault_data_pipeline/data/renault_raw/instances/instances/210215/,436623e9,603,14,29,19,332253,406,1937,0,0.1107679990850346,0.0,True,True,True,True,True,0,0,True,True,RAW_COORDINATES_AVAILABLE_FORMAL_MAPPING_RULE_MISSING,FORMAL_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_RANKING_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_OBSERVED_VALUE_AVAILABLE_BASELINE_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,CALIBRATION_RULE_NOT_IN_ARCHIVE,CALIBRATION_RULE_NOT_IN_ARCHIVE,BLOCKED_BY_MISSING_FORMAL_INSTANCE_AND_INCUMBENT,False,REQUIRES_NEW_MODELING_ASSUMPTION,,,,,,,NOT_FROZEN
210218,renault_data_pipeline/data/renault_raw/instances/instances/210218/,0884df1b,564,15,29,22,359832,435,1912,0,0.11689899730985572,0.0,True,True,True,True,True,0,0,True,True,RAW_COORDINATES_AVAILABLE_FORMAL_MAPPING_RULE_MISSING,FORMAL_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_RANKING_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_OBSERVED_VALUE_AVAILABLE_BASELINE_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,CALIBRATION_RULE_NOT_IN_ARCHIVE,CALIBRATION_RULE_NOT_IN_ARCHIVE,BLOCKED_BY_MISSING_FORMAL_INSTANCE_AND_INCUMBENT,False,REQUIRES_NEW_MODELING_ASSUMPTION,,,,,,,NOT_FROZEN
210219,renault_data_pipeline/data/renault_raw/instances/instances/210219/,17203317,573,15,29,22,365574,435,1928,0,0.11602575675513029,0.0,True,True,True,True,True,0,0,True,True,RAW_COORDINATES_AVAILABLE_FORMAL_MAPPING_RULE_MISSING,FORMAL_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_RANKING_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_OBSERVED_VALUE_AVAILABLE_BASELINE_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,CALIBRATION_RULE_NOT_IN_ARCHIVE,CALIBRATION_RULE_NOT_IN_ARCHIVE,BLOCKED_BY_MISSING_FORMAL_INSTANCE_AND_INCUMBENT,False,REQUIRES_NEW_MODELING_ASSUMPTION,,,,,,,NOT_FROZEN
210222,renault_data_pipeline/data/renault_raw/instances/instances/210222/,7a07bd91,609,15,29,19,335559,435,1944,0,0.1100730422965857,0.0,True,True,True,True,True,0,0,True,True,RAW_COORDINATES_AVAILABLE_FORMAL_MAPPING_RULE_MISSING,FORMAL_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_RANKING_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_OBSERVED_VALUE_AVAILABLE_BASELINE_RULE_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,RAW_INPUT_AVAILABLE_FORMAL_TRANSFORM_MISSING,CALIBRATION_RULE_NOT_IN_ARCHIVE,CALIBRATION_RULE_NOT_IN_ARCHIVE,BLOCKED_BY_MISSING_FORMAL_INSTANCE_AND_INCUMBENT,False,REQUIRES_NEW_MODELING_ASSUMPTION,,,,,,,NOT_FROZEN
